NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT
34027,M,60-69,1,0,1073,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,69,738,0,249,59,484,10,5,0
12021,V,80-89,1,1,1172,Lier,Antwerpen,Vlaams Gewest,Pallieterland,1049,123,0,96,1039,27,5,0,5
12025,M,70-79,1,1,2906,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,816,2065,0,677,781,1386,14,2,21
12029,V,60-69,1,0,602,Putte,Antwerpen,Vlaams Gewest,Bonstato,74,333,0,86,57,246,15,1,2
34022,M,50-59,1,0,5153,Kortrijk,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,304,1901,9,427,257,358,32,1116,6
32003,V,50-59,1,0,1241,Diksmuide,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,257,346,51,128,188,217,14,1,4
23003,V,70-79,1,1,1054,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei,463,541,0,187,456,354,4,0,3
32011,V,90-100+,1,1,128,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,76,68,0,59,75,9,0,0,1
42026,V,30-39,1,0,750,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,109,81,2,62,94,17,13,2,0
11054,M,70-79,1,1,664,Zandhoven,Antwerpen,Vlaams Gewest,Voorkempen,279,421,0,212,276,209,1,0,2
13031,M,60-69,1,1,467,Oud-Turnhout,Antwerpen,Vlaams Gewest,Kempenland,23,414,0,66,22,347,1,1,0
24043,V,50-59,1,0,790,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,180,97,7,73,165,22,7,2,1
35005,V,80-89,1,1,428,Gistel,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,321,91,0,85,310,6,1,0,10
36006,V,70-79,1,1,467,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL,161,293,0,145,161,148,0,0,0
23097,M,40-49,1,0,778,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland,40,33,0,23,38,8,1,2,1
44052,V,40-49,1,0,926,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,153,100,11,78,129,22,11,0,2
73006,V,10-19,1,0,302,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,16,6,0,2,16,4,0,0,0
34023,V,30-39,1,0,825,Kuurne,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,99,81,17,51,78,17,4,13,0
24107,M,40-49,1,0,2358,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,130,115,6,64,109,48,13,3,2
23064,V,60-69,1,1,136,Pepingen,Vlaams-Brabant,Vlaams Gewest,Zennevallei,10,112,0,16,9,96,1,0,0
45041,M,80-89,1,1,483,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,349,117,2,108,341,9,3,0,3
11008,V,90-100+,1,1,297,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen,281,78,0,75,264,3,0,0,17
13035,M,60-69,1,0,620,Ravels,Antwerpen,Vlaams Gewest,Kempenland,24,320,0,108,22,211,2,1,0
73006,V,40-49,1,0,2084,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,307,231,57,183,221,42,26,6,3
31004,M,80-89,1,1,617,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust,468,176,1,138,461,38,2,0,4
45060,V,40-49,1,0,415,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,63,47,1,37,59,10,2,0,1
11004,M,60-69,1,1,405,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,32,379,0,98,27,279,3,2,2
11021,V,60-69,1,0,312,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,64,160,0,52,57,106,5,2,2
73107,M,20-29,1,0,2196,Maasmechelen,Limburg,Vlaams Gewest,Maasland,48,36,6,20,37,15,5,1,0
24062,M,10-19,1,0,1016,Leuven,Vlaams-Brabant,Vlaams Gewest,Leuven,16,17,1,3,13,4,0,10,2
24045,M,40-49,1,0,631,Huldenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,32,41,6,26,22,15,4,0,0
72030,V,10-19,0,0,686,Peer,Limburg,Vlaams Gewest,Noord-Limburg,1,0,0,0,1,0,0,0,0
71016,M,40-49,1,0,4306,Genk,Limburg,Vlaams Gewest,Kemp en Duin,148,186,26,108,102,74,16,4,4
24086,M,30-39,1,0,641,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,45,24,11,15,27,8,7,1,0
12035,V,60-69,1,0,692,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,119,403,0,74,111,328,6,1,2
23086,V,70-79,1,1,693,Ternat,Vlaams-Brabant,Vlaams Gewest,Pajottenland,250,463,0,247,249,215,0,1,1
12014,M,50-59,1,0,3429,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato,248,714,12,642,144,61,22,11,70
44021,M,80-89,1,1,4340,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,1817,2275,1,2035,870,128,883,112,63
13021,V,70-79,1,1,464,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,227,262,0,153,221,109,1,0,5
24055,V,20-29,1,0,1066,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,116,82,9,48,98,31,9,3,0
34040,V,50-59,1,0,2866,Waregem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,365,701,32,391,275,307,39,3,19
42004,V,50-59,1,0,1120,Buggenhout,Oost-Vlaanderen,Vlaams Gewest,Dender,153,377,5,222,138,153,8,2,2
32011,V,20-29,1,0,723,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,134,75,9,53,119,22,6,0,0
32011,V,40-49,1,0,746,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,136,69,16,56,116,13,4,0,0
46003,V,30-39,1,0,2928,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,314,238,35,191,250,44,28,3,1
36006,V,10-19,1,0,98,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL,6,11,0,3,6,8,0,0,0
44021,V,50-59,1,0,14710,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,1847,5537,235,2787,1371,1357,212,1393,29
72039,M,30-39,1,0,2002,Houthalen-Helchteren,Limburg,Vlaams Gewest,MidWestLim,66,60,11,26,47,33,6,1,2
71070,M,40-49,1,0,2303,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim,100,139,5,69,79,70,12,0,4
11005,M,30-39,1,0,1197,Boom,Antwerpen,Vlaams Gewest,RupeLaar,50,48,11,23,34,23,4,2,1
73042,V,70-79,1,1,1316,Lanaken,Limburg,Vlaams Gewest,Maasland,546,767,0,536,539,231,5,0,2
13019,M,50-59,1,0,1371,Lille,Antwerpen,Vlaams Gewest,Middenkempen,64,241,0,205,56,34,4,2,4
43010,M,40-49,1,0,1607,Maldegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,71,72,2,48,57,23,7,1,5
23024,V,30-39,1,0,533,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,64,58,0,36,55,21,8,1,1
24016,M,40-49,1,0,560,Boutersem,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,35,31,0,14,32,17,2,0,1
44083,M,60-69,1,0,1457,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,104,809,0,51,87,755,14,3,3
44083,M,80-89,1,1,965,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,650,316,0,281,636,34,8,1,6
45041,V,60-69,1,0,834,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,87,411,0,64,80,345,6,2,1
42028,V,60-69,1,1,598,Zele,Oost-Vlaanderen,Vlaams Gewest,Dender,28,524,0,193,26,331,1,0,1
23045,V,30-39,1,0,1158,Londerzeel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,113,112,3,72,106,36,4,4,0
44081,V,90-100+,1,1,97,Zulte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,59,55,0,50,56,4,0,1,3
