NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
24130,V,90-100+,1,1,Zoutleeuw,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,72,4,25,1,40,3,0,0,7,0,0,76
24086,M,18-29,1,0,Oud-Heverlee,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,668,8,23,0,526,8,7,0,112,0,0,726
72020,M,40-49,1,0,Lommel,LIMBURG,VLAAMS GEWEST,Noord-Limburg,1974,9,255,1,1310,8,11,0,398,0,0,2179
11008,M,60-69,1,1,Brasschaat,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1195,3,349,0,823,3,7,0,15,1,0,1262
11007,V,70-79,1,1,Borsbeek,ANTWERPEN,VLAAMS GEWEST,ZORA,512,4,233,1,186,2,77,1,15,1,0,535
45062,V,0-11,0,0,Sint-Kornelis-Horebeke,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,6,1,0,0,6,1,0,0,0,0,0,111
34023,V,80-89,1,1,Kuurne,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Kortrijk,435,2,93,1,327,1,9,0,6,0,0,452
13008,V,60-69,1,0,Geel,ANTWERPEN,VLAAMS GEWEST,Zuiderkempen,1363,2,442,1,847,1,41,0,33,0,0,1414
36008,V,80-89,1,1,Izegem,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,928,5,252,4,660,1,1,0,15,0,0,966
11055,M,60-69,1,0,Zoersel,ANTWERPEN,VLAAMS GEWEST,Voorkempen,844,1,175,1,642,0,13,0,14,0,0,867
23101,M,60-69,1,1,Sint-Genesius-Rode,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,459,2,53,0,393,2,4,0,9,0,0,492
73083,V,18-29,1,0,Tongeren,LIMBURG,VLAAMS GEWEST,ZOLim,1705,33,124,0,1518,31,31,2,32,0,0,1876
73022,V,50-59,1,0,Heers,LIMBURG,VLAAMS GEWEST,Haspengouw,536,2,185,0,271,2,5,0,75,0,0,562
43002,M,50-59,1,0,Assenede,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,1111,3,360,0,740,3,2,0,9,0,0,1147
37012,M,80-89,1,1,Ruiselede,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,122,2,22,1,98,1,0,0,2,0,0,122
43018,V,30-39,1,0,Zelzate,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,710,14,45,1,640,13,21,0,4,0,0,807
23099,M,18-29,1,0,Kraainem,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,673,38,19,1,608,36,7,1,39,0,0,993
33021,V,18-29,1,0,Poperinge,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,1192,12,87,1,1058,10,17,1,30,0,0,1289
23100,M,70-79,1,1,Linkebeek,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,167,0,26,0,139,0,0,0,2,0,0,179
44085,V,40-49,1,0,Lovendegem,OOST-VLAANDEREN,VLAAMS GEWEST,West-Meetjesland,1547,6,411,3,894,3,34,0,208,0,0,1625
24045,M,12-17,0,0,Huldenberg,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,318,7,0,0,304,7,0,0,14,0,0,387
37010,M,12-17,0,0,Oostrozebeke,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,245,3,0,0,241,3,1,0,3,0,0,272
12007,V,0-11,0,0,Bornem,ANTWERPEN,VLAAMS GEWEST,Klein-Brabant Vaartland,62,1,0,0,62,1,0,0,0,0,0,1104
11055,M,0-11,0,0,Zoersel,ANTWERPEN,VLAAMS GEWEST,Voorkempen,79,2,0,0,78,2,0,0,1,0,0,1230
45064,V,18-29,1,0,Maarke-Kerkem,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,369,2,31,1,318,1,11,0,9,0,0,401
24033,V,30-39,1,0,Haacht,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,914,6,80,0,813,6,14,0,7,0,0,953
24059,V,80-89,1,1,Landen,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,468,5,92,2,362,3,1,0,13,0,0,490
23038,M,18-29,1,0,Kampenhout,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,696,9,18,0,566,9,7,0,105,0,0,799
35011,V,12-17,0,0,Middelkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,434,7,1,0,431,7,1,0,1,0,0,469
34025,V,60-69,1,1,Lendelede,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,166,1,23,0,142,1,0,0,1,0,0,170
71067,M,40-49,1,0,Zutendaal,LIMBURG,VLAAMS GEWEST,Kemp en Duin,395,2,115,0,182,2,9,0,89,0,0,445
11052,V,18-29,1,0,Wommelgem,ANTWERPEN,VLAAMS GEWEST,Antwerpen Centrum-Noord-Oost-Zuid,670,7,56,0,269,6,314,1,31,0,0,767
31005,V,12-17,0,0,Brugge,WEST-VLAANDEREN,VLAAMS GEWEST,Brugge,2971,51,1,0,2913,51,3,0,54,0,0,3381
23096,V,70-79,1,1,Zemst,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,963,2,331,2,615,0,3,0,14,0,0,992
23033,V,30-39,1,0,Hoeilaart,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,578,12,42,0,522,12,4,0,10,0,0,699
34043,M,0-11,0,0,Helkijn,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Waregem,4,1,0,0,4,1,0,0,0,0,0,133
12025,V,80-89,1,1,Mechelen,ANTWERPEN,VLAAMS GEWEST,Mechelen-Katelijne,2155,15,206,2,1887,13,8,0,54,0,0,2296
24055,M,60-69,1,0,Kortenberg,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,612,2,104,2,498,0,9,0,1,0,0,635
36019,M,80-89,1,1,Staden,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,251,7,74,3,176,4,0,0,1,0,0,273
34013,M,18-29,1,0,Harelbeke,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Kortrijk,1727,25,51,1,766,12,836,12,74,0,0,1977
73042,M,60-69,1,0,Lanaken,LIMBURG,VLAAMS GEWEST,Maasland,879,2,136,1,700,1,10,0,33,0,0,973
35005,V,60-69,1,1,Gistel,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,296,1,29,0,265,1,1,0,1,0,0,309
31004,M,40-49,1,0,Blankenberge,WEST-VLAANDEREN,VLAAMS GEWEST,Oostkust,1008,11,306,4,565,7,7,0,129,1,0,1123
71024,V,60-69,1,1,Herk-De-Stad,LIMBURG,VLAAMS GEWEST,Herkenrode,368,2,128,2,159,0,74,0,7,0,0,384
11050,M,90-100+,1,1,Wijnegem,ANTWERPEN,VLAAMS GEWEST,Voorkempen,43,2,17,0,25,2,0,0,1,0,0,46
12025,M,60-69,1,1,Mechelen,ANTWERPEN,VLAAMS GEWEST,Mechelen-Katelijne,1893,7,426,1,1426,6,10,0,30,1,0,1996
34040,M,60-69,1,1,Waregem,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Waregem,1093,7,352,2,733,4,2,0,6,0,1,1134
13006,M,60-69,1,1,Dessel,ANTWERPEN,VLAAMS GEWEST,Baldemore,270,1,7,0,262,1,0,0,1,0,0,277
24033,V,70-79,1,1,Haacht,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,689,1,242,1,440,0,3,0,4,0,0,714
71057,M,30-39,1,0,Tessenderlo,LIMBURG,VLAAMS GEWEST,West-Limburg,954,4,16,0,892,4,3,0,43,0,0,1056
72042,M,18-29,1,0,Opglabbeek,LIMBURG,VLAAMS GEWEST,Kemp en Duin,1404,9,47,0,1280,9,13,0,64,0,0,1600
24134,V,12-17,0,0,Scherpenheuvel,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,610,11,0,0,594,11,0,0,16,0,0,652
24020,V,50-59,1,0,Diest,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,1617,10,428,3,1111,7,45,0,33,0,0,1710
44021,M,18-29,1,0,Gent,OOST-VLAANDEREN,VLAAMS GEWEST,Gent,20417,535,606,4,7468,365,11462,166,871,10,0,24626
23101,V,40-49,1,0,Sint-Genesius-Rode,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,1160,28,253,4,732,23,24,1,151,0,0,1398
73083,V,60-69,1,0,Tongeren,LIMBURG,VLAAMS GEWEST,ZOLim,1115,6,161,2,928,4,16,0,10,0,0,1174
46003,M,60-69,1,0,Beveren-Waas,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,1558,6,226,3,1309,3,15,0,7,1,0,1612
