NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
13014,M,20-29,1,0,1284,10,14,Hoogstraten,Antwerpen,Vlaams Gewest,Kempenland
12009,M,60-69,1,0,598,18,8,Duffel,Antwerpen,Vlaams Gewest,Pallieterland
34022,M,20-29,1,0,5092,110,62,Kortrijk,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk
11008,V,20-29,1,0,1957,135,70,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen
11008,M,60-69,1,1,1231,34,29,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen
11030,M,80-89,1,1,185,7,15,Niel,Antwerpen,Vlaams Gewest,RupeLaar
44020,V,60-69,1,1,380,9,3,Gavere,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
71037,M,80-89,1,1,358,7,30,Lummen,Limburg,Vlaams Gewest,MidWestLim
41011,V,30-39,1,0,1306,74,54,Denderleeuw,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
41011,M,30-39,1,0,1125,26,14,Denderleeuw,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
31006,M,20-29,1,0,589,18,7,Damme,West-Vlaanderen,Vlaams Gewest,Oostkust
42026,M,20-29,1,0,631,17,8,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
34042,V,60-69,1,0,826,31,58,Zwevegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
13008,M,70-79,1,1,1660,12,43,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen
23100,M,60-69,1,1,119,3,5,Linkebeek,Vlaams-Brabant,Vlaams Gewest,Zennevallei
43007,V,30-39,1,0,362,48,26,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
43010,V,80-89,1,1,785,6,107,Maldegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
73098,V,90-100+,1,1,46,3,23,Wellen,Limburg,Vlaams Gewest,Haspengouw
32010,M,70-79,1,1,352,4,3,Koekelare,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
45065,V,40-49,1,0,568,65,29,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
24133,V,40-49,1,0,509,54,41,Linter,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
13049,V,50-59,1,0,1869,111,122,Westerlo,Antwerpen,Vlaams Gewest,Zuiderkempen
24048,V,50-59,1,0,1078,90,48,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
13006,M,10-19,1,0,93,1,1,Dessel,Antwerpen,Vlaams Gewest,Baldemore
73098,M,60-69,1,1,226,1,5,Wellen,Limburg,Vlaams Gewest,Haspengouw
45065,M,30-39,1,0,448,11,7,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
38014,M,60-69,1,0,1118,25,20,Koksijde,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
23101,V,90-100+,1,1,136,4,51,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei
13049,V,40-49,1,0,1711,126,80,Westerlo,Antwerpen,Vlaams Gewest,Zuiderkempen
72020,M,70-79,1,1,1585,8,26,Lommel,Limburg,Vlaams Gewest,Noord-Limburg
