NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
13017,M,50-59,1,0,Kasterlee,ANTWERPEN,VLAAMS GEWEST,Middenkempen,1538,5,473,2,908,3,16,0,140,1,0,1590
11008,V,60-69,1,0,Brasschaat,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1348,3,259,0,1046,3,20,0,22,1,0,1434
31005,M,40-49,1,0,Brugge,WEST-VLAANDEREN,VLAAMS GEWEST,Brugge,6598,44,1695,10,4113,34,68,0,720,2,0,7242
24033,V,18-29,1,0,Haacht,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,859,4,75,0,676,4,11,0,97,0,0,911
11039,V,80-89,1,1,Schilde,ANTWERPEN,VLAAMS GEWEST,Voorkempen,635,3,145,1,477,2,1,0,12,0,0,681
24086,V,60-69,1,0,Oud-Heverlee,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,378,1,44,0,313,1,4,0,17,0,0,390
11035,M,40-49,1,0,Ranst,ANTWERPEN,VLAAMS GEWEST,Pallieterland,1031,4,186,0,717,4,11,0,117,0,0,1099
23088,V,18-29,1,0,Vilvoorde,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,2396,100,136,4,2102,88,30,8,128,0,0,3445
24133,V,90-100+,1,1,Linter,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,57,2,32,1,23,1,0,0,2,0,0,65
46014,M,40-49,1,0,Lokeren,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,2653,13,363,0,1734,13,14,0,542,0,0,2882
42026,M,12-17,0,0,Wichelen,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,378,3,0,0,374,3,0,0,4,0,0,409
42011,V,60-69,1,0,Lebbeke,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,573,2,129,0,440,2,3,0,1,0,0,579
31022,V,30-39,1,0,Oostkamp,WEST-VLAANDEREN,VLAAMS GEWEST,WE40,1380,6,179,0,1158,5,33,1,10,0,0,1445
44064,V,50-59,1,0,Sint-Martens-Latem,OOST-VLAANDEREN,VLAAMS GEWEST,Schelde en Leie,592,1,66,0,499,1,10,0,17,0,0,619
33039,M,90-100+,1,1,Nieuwkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Westhoek,21,3,14,3,5,0,1,0,1,0,0,25
24045,M,60-69,1,0,Huldenberg,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,333,4,38,1,272,3,1,0,22,0,0,355
11007,V,18-29,1,0,Borsbeek,ANTWERPEN,VLAAMS GEWEST,ZORA,590,9,49,0,239,7,285,2,17,0,0,781
23038,M,30-39,1,0,Kampenhout,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,648,2,24,1,607,1,4,0,13,0,0,717
11039,V,50-59,1,0,Schilde,ANTWERPEN,VLAAMS GEWEST,Voorkempen,1481,8,338,4,962,4,34,0,147,0,0,1588
73009,M,40-49,1,0,Borgloon,LIMBURG,VLAAMS GEWEST,Haspengouw,750,5,166,1,477,4,4,0,103,0,0,800
23088,M,60-69,1,1,Vilvoorde,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,831,5,28,0,790,4,6,1,7,0,0,889
44085,M,12-17,0,0,Lovendegem,OOST-VLAANDEREN,VLAAMS GEWEST,West-Meetjesland,794,8,0,0,787,8,2,0,5,0,0,865
11007,M,18-29,1,0,Borsbeek,ANTWERPEN,VLAAMS GEWEST,ZORA,497,13,16,0,194,10,259,3,28,0,0,692
34041,V,30-39,1,0,Wevelgem,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Menen,1796,12,160,1,1520,11,21,0,95,0,0,1933
32011,V,40-49,1,0,Kortemark,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,697,4,171,2,445,2,5,0,76,0,0,746
12035,V,90-100+,1,1,Sint-Katelijne-Waver,ANTWERPEN,VLAAMS GEWEST,Mechelen-Katelijne,235,5,91,2,142,3,0,0,2,0,0,248
23099,V,0-11,0,0,Kraainem,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,30,12,0,0,29,12,0,0,1,0,0,989
13003,V,30-39,1,0,Balen,ANTWERPEN,VLAAMS GEWEST,Baldemore,1410,14,140,1,1225,13,29,0,16,0,0,1555
42023,M,90-100+,1,1,Waasmunster,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,22,0,11,0,10,0,0,0,1,0,0,24
24016,M,60-69,1,1,Boutersem,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,226,1,23,1,199,0,1,0,3,0,0,232
44040,V,30-39,1,0,Melle,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,770,3,65,1,679,2,18,0,8,0,0,809
46021,V,80-89,1,1,Sint-Niklaas,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,2265,27,691,9,1518,18,7,0,48,1,0,2410
