NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
13037,V,80-89,1,1,304,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland,288,5,43,2,244,3,0,0,1,0,0
45059,M,60-69,1,1,474,Brakel,Oost-Vlaanderen,Vlaams Gewest,Panacea,458,6,29,1,422,5,4,0,3,0,0
44019,V,60-69,1,1,992,Evergem,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,955,7,278,4,667,3,8,0,2,0,0
43005,M,40-49,1,0,1437,Eeklo,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,833,406,58,210,427,196,26,0,322,0,0
73066,V,40-49,1,0,1104,Riemst,Limburg,Vlaams Gewest,Zuid-Oost Limburg,759,176,121,60,530,116,9,0,99,0,0
33039,M,90-100+,1,1,25,Heuvelland,West-Vlaanderen,Vlaams Gewest,Westhoek,21,3,14,3,5,0,1,0,1,0,0
11040,M,90-100+,1,1,142,Schoten,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,125,4,53,0,51,3,16,1,5,0,0
13004,M,60-69,1,1,508,Beerse,Antwerpen,Vlaams Gewest,Kempenland,473,17,22,7,449,10,0,0,2,0,0
73107,M,40-49,1,0,2569,Maasmechelen,Limburg,Vlaams Gewest,Maasland,1341,738,154,336,967,401,9,1,211,0,0
41011,M,50-59,1,0,1538,Denderleeuw,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,1167,240,197,213,950,27,14,0,6,0,0
73006,V,80-89,1,1,966,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,923,17,213,6,695,11,2,0,13,0,0
71011,V,10-19,1,0,191,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode,76,99,8,0,19,66,6,33,43,0,0
11040,M,20-29,1,0,1860,Schoten,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,583,855,43,0,125,411,347,444,68,0,0
34013,M,90-100+,1,1,76,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,67,1,42,1,23,0,0,0,2,0,0
13016,V,30-39,1,0,643,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen,294,294,49,1,219,293,21,0,5,0,0
11056,M,60-69,1,0,715,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,658,30,68,25,583,5,3,0,4,0,0
73109,M,30-39,1,0,270,Voeren,Limburg,Vlaams Gewest,Zuid-Oost Limburg,106,103,4,0,90,103,4,0,8,0,0
31006,V,20-29,1,0,541,Damme,West-Vlaanderen,Vlaams Gewest,Oostkust,218,248,46,2,149,246,9,0,14,0,0
13011,M,40-49,1,0,1757,Herentals,Antwerpen,Vlaams Gewest,Middenkempen,1152,426,53,85,967,340,11,1,121,0,0
44048,M,20-29,1,0,660,Nazareth,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,121,444,17,0,70,444,2,0,32,0,0
24055,V,40-49,1,0,1465,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,968,342,155,84,591,258,18,0,204,0,0
34042,V,40-49,1,0,1575,Zwevegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,1313,138,165,96,1007,42,6,0,135,0,0
