NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
24041,M,40-49,1,0,469,13,7,Hoegaarden,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
23101,M,80-89,1,1,343,4,19,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei
11056,V,10-19,1,0,176,1,4,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland
38014,V,30-39,1,0,627,37,20,Koksijde,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
11053,M,40-49,1,0,1350,12,6,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
24054,V,70-79,1,1,369,2,6,Kortenaken,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
12009,V,40-49,1,0,1121,68,65,Duffel,Antwerpen,Vlaams Gewest,Pallieterland
71024,M,50-59,1,0,1003,12,9,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode
71053,V,30-39,1,0,2424,92,120,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw
46020,M,70-79,1,1,831,4,18,Sint-Gillis-Waas,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
31033,V,60-69,1,0,685,30,26,Torhout,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
12026,M,40-49,1,0,1545,11,20,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland
12005,V,70-79,1,1,792,3,29,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato
13016,V,40-49,1,0,724,24,48,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen
11024,M,0-9,0,0,1068,0,0,Kontich,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
45060,M,90-100+,1,1,22,0,5,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
24033,M,40-49,1,0,931,13,13,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
71053,V,50-59,1,0,3154,115,186,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw
41024,V,50-59,1,0,1417,44,58,Haaltert,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
37017,M,50-59,1,0,695,8,4,Wielsbeke,West-Vlaanderen,Vlaams Gewest,Regio Waregem
31033,V,60-69,1,1,603,6,10,Torhout,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
23077,M,60-69,1,0,1077,11,26,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest,Zennevallei
44021,M,10-19,1,0,2765,3,10,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent
33037,M,60-69,1,1,307,2,7,Zonnebeke,West-Vlaanderen,Vlaams Gewest,Westhoek
71053,M,50-59,1,0,3182,53,48,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw
44083,V,10-19,0,0,1803,1,5,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
31005,V,60-69,1,1,3849,28,62,Brugge,West-Vlaanderen,Vlaams Gewest,Brugge
11030,V,80-89,1,1,275,1,55,Niel,Antwerpen,Vlaams Gewest,RupeLaar
11053,M,20-29,1,0,1347,9,8,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
44034,M,70-79,1,1,951,1,22,Lochristi,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
11013,M,40-49,1,0,1219,17,14,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
23024,M,40-49,1,0,566,2,3,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
11009,M,10-19,0,0,1244,0,2,Brecht,Antwerpen,Vlaams Gewest,Voorkempen
23009,M,0-9,0,0,133,0,0,Bever,Vlaams-Brabant,Vlaams Gewest,Pajottenland
24133,M,90-100+,1,1,18,0,7,Linter,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
34003,V,0-9,0,0,553,0,0,Avelgem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
42026,M,0-9,0,0,545,0,0,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
24011,M,60-69,1,1,334,10,3,Bierbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
11037,M,90-100+,1,1,58,0,19,Rumst,Antwerpen,Vlaams Gewest,RupeLaar
43018,V,10-19,0,0,557,0,1,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
24007,M,10-19,0,0,417,0,0,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland
23024,V,80-89,1,1,320,3,53,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
24104,V,30-39,1,0,1299,31,23,Tervuren,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
23003,V,60-69,1,0,800,17,33,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei
11007,M,20-29,1,0,610,3,4,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
24014,V,40-49,1,0,786,28,26,Boortmeerbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
35006,V,60-69,1,1,374,6,13,Ichtegem,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
45064,M,30-39,1,0,296,6,2,Maarkedal,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
24008,M,50-59,1,0,519,3,13,Bekkevoort,Vlaams-Brabant,Vlaams Gewest,Demerland
24009,M,20-29,1,0,560,11,1,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23086,V,60-69,1,1,493,3,12,Ternat,Vlaams-Brabant,Vlaams Gewest,Pajottenland
24008,V,30-39,1,0,399,26,27,Bekkevoort,Vlaams-Brabant,Vlaams Gewest,Demerland
45064,V,60-69,1,1,185,2,4,Maarkedal,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
11007,M,10-19,1,0,105,1,0,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
44048,V,0-9,0,0,563,0,0,Nazareth,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
41018,V,70-79,1,1,1580,18,45,Geraardsbergen,Oost-Vlaanderen,Vlaams Gewest,Dender Zuid
37007,V,90-100+,1,1,88,1,49,Meulebeke,West-Vlaanderen,Vlaams Gewest,RITS
33040,M,60-69,1,1,201,1,5,Langemark-Poelkapelle,West-Vlaanderen,Vlaams Gewest,Westhoek
11035,M,50-59,1,0,1500,10,15,Ranst,Antwerpen,Vlaams Gewest,Pallieterland
45065,M,80-89,1,1,156,0,12,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
13008,V,30-39,1,0,2665,116,104,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen
45063,M,10-19,0,0,341,0,0,Lierde,Oost-Vlaanderen,Vlaams Gewest,Panacea
45065,M,10-19,1,0,90,0,0,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
13011,M,10-19,1,0,270,0,2,Herentals,Antwerpen,Vlaams Gewest,Middenkempen
13040,M,10-19,1,0,490,1,1,Turnhout,Antwerpen,Vlaams Gewest,Kempenland
