NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
23003,M,18-29,1,0,Beersel,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,1328,64,28,1,1104,62,15,1,181,0,0,1711
12021,V,18-29,1,0,Lier,ANTWERPEN,VLAAMS GEWEST,Pallieterland,2332,75,203,1,1946,74,40,0,143,0,0,2665
38025,M,50-59,1,0,Veurne,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,829,6,210,2,590,4,6,0,23,0,0,868
38014,V,40-49,1,0,Koksijde,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,825,8,183,3,536,4,15,1,91,0,0,915
44013,M,50-59,1,0,Destelbergen,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,1226,5,415,1,672,4,12,0,127,0,0,1295
42011,V,18-29,1,0,Lebbeke,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,1148,13,122,0,944,13,19,0,63,0,0,1262
11053,V,0-11,0,0,Wuustwezel,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,60,13,0,0,60,13,0,0,0,0,0,1315
44085,M,18-29,1,0,Lovendegem,OOST-VLAANDEREN,VLAAMS GEWEST,West-Meetjesland,1407,55,31,0,1328,54,18,1,30,0,0,1623
36019,M,50-59,1,0,Staden,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,832,2,233,0,570,2,4,0,25,0,0,873
44084,V,30-39,1,0,Aalter,OOST-VLAANDEREN,VLAAMS GEWEST,West-Meetjesland,1535,11,165,2,1330,9,28,0,11,1,0,1632
71011,V,40-49,1,0,Diepenbeek,LIMBURG,VLAAMS GEWEST,Herkenrode,1125,7,196,1,397,3,431,3,101,0,0,1205
37017,V,40-49,1,0,Wielsbeke,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Waregem,612,3,105,1,442,2,7,0,58,0,0,660
46021,V,70-79,1,1,Sint-Niklaas,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,3506,13,947,5,2500,7,19,1,40,0,0,3654
24028,V,60-69,1,0,Geetbets,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,200,0,13,0,184,0,1,0,2,0,0,205
36010,V,80-89,1,1,Ledegem,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,319,2,91,0,223,2,0,0,5,0,0,331
42011,V,90-100+,1,1,Lebbeke,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,124,2,44,1,68,1,0,0,12,0,0,134
33029,M,12-17,0,0,Wervik,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Menen,610,35,2,0,598,35,0,0,10,0,0,741
