NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
13008,V,18-29,1,0,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen,2188,66,190,1,1824,65,81,0,93,0,0,2530
12041,M,60-69,1,1,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,723,2,65,1,654,1,3,0,1,0,0,733
35029,V,90-100+,1,1,De Haan,West-Vlaanderen,Vlaams Gewest,Oostkust,111,6,1,0,110,6,0,0,0,0,0,121
34022,M,60-69,1,1,Kortrijk,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,1935,9,436,2,699,6,786,1,13,1,0,2064
36008,V,30-39,1,0,Izegem,West-Vlaanderen,Vlaams Gewest,RITS,1587,27,163,2,1375,25,26,0,23,0,0,1751
35002,M,50-59,1,0,Bredene,West-Vlaanderen,Vlaams Gewest,Oostende-Bredene,1329,13,389,9,873,4,20,0,47,0,0,1399
11039,M,0-11,0,0,Schilde,Antwerpen,Vlaams Gewest,Voorkempen,33,26,0,0,33,26,0,0,0,0,0,1158
41011,M,12-17,0,0,Denderleeuw,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,427,101,0,0,410,101,0,0,17,0,0,805
13004,M,50-59,1,0,Beerse,Antwerpen,Vlaams Gewest,Kempenland,1275,4,501,0,615,4,11,0,148,0,0,1345
32006,V,18-29,1,0,Houthulst,West-Vlaanderen,Vlaams Gewest,Westhoek,648,17,62,0,541,17,11,0,34,0,0,713
72030,V,80-89,1,1,Peer,Limburg,Vlaams Gewest,Noord-Limburg,440,4,138,3,294,1,3,0,5,0,0,453
44085,V,60-69,1,0,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,933,1,232,0,684,1,14,0,3,0,0,962
12014,V,60-69,1,1,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato,1290,6,413,3,859,3,3,0,15,0,0,1335
38002,M,30-39,1,0,Alveringem,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,289,2,10,0,277,2,1,0,1,0,0,323
36012,M,60-69,1,0,Moorslede,West-Vlaanderen,Vlaams Gewest,Midden WVL,393,1,145,0,240,1,5,0,3,0,0,407
71002,M,12-17,0,0,As,Limburg,Vlaams Gewest,Kemp en Duin,175,32,0,0,169,32,1,0,5,0,0,271
45059,V,60-69,1,0,Brakel,Oost-Vlaanderen,Vlaams Gewest,Panacea,511,7,134,1,366,6,4,0,7,0,0,541
44043,V,90-100+,1,1,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,162,7,75,1,82,6,2,0,3,0,0,178
24038,V,40-49,1,0,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,1343,13,251,4,844,9,25,0,223,0,0,1430
72043,V,90-100+,1,1,Pelt,Limburg,Vlaams Gewest,Noord-Limburg,215,4,81,4,125,0,1,0,8,0,0,233
46021,M,70-79,1,1,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,3075,12,893,7,2121,5,15,0,45,1,0,3221
23099,M,30-39,1,0,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,527,18,21,2,478,15,12,1,16,0,0,702
31042,M,60-69,1,1,Zuienkerke,West-Vlaanderen,Vlaams Gewest,Oostkust,104,0,22,0,81,0,0,0,1,0,0,105
44085,M,70-79,1,1,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,1254,10,534,4,712,6,6,0,2,0,0,1293
34013,M,70-79,1,1,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,1202,10,498,4,258,3,437,3,9,0,0,1245
24016,M,50-59,1,0,Boutersem,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,617,5,262,1,317,3,8,0,30,0,1,634
24094,V,40-49,1,0,Rotselaar,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,1072,11,139,1,742,10,15,0,176,0,0,1132
24011,V,80-89,1,1,Bierbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,301,3,44,3,252,0,1,0,4,0,0,315
46025,M,50-59,1,0,Temse,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,2080,45,578,20,1325,25,19,0,158,0,0,2243
12041,M,50-59,1,0,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,1856,21,395,9,1240,12,10,0,211,0,0,1944
24104,V,0-11,0,0,Tervuren,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,10,34,0,0,10,34,0,0,0,0,0,1630
24020,V,50-59,1,0,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland,1599,22,422,8,1102,14,45,0,30,0,0,1710
12014,V,40-49,1,0,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato,2509,24,572,9,1495,15,48,0,393,1,0,2719
13037,V,90-100+,1,1,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland,54,1,22,1,29,0,0,0,3,0,0,58
24016,M,90-100+,1,1,Boutersem,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,20,1,12,1,8,0,0,0,0,0,0,24
73042,M,60-69,1,1,Lanaken,Limburg,Vlaams Gewest,Maasland,889,6,178,3,702,2,4,1,5,0,0,932
71067,V,12-17,0,0,Zutendaal,Limburg,Vlaams Gewest,Kemp en Duin,134,26,0,0,132,26,0,0,2,0,0,190
71020,M,60-69,1,0,Halen,Limburg,Vlaams Gewest,MidWestLim,339,0,24,0,309,0,1,0,5,0,0,339
36006,M,60-69,1,0,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL,324,2,119,1,203,1,0,0,2,0,0,341
32011,V,50-59,1,0,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,835,3,269,1,493,2,5,0,68,0,0,862
11004,V,90-100+,1,1,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,128,2,42,1,78,1,0,0,8,0,0,134
71037,M,90-100+,1,1,Lummen,Limburg,Vlaams Gewest,MidWestLim,57,2,23,1,32,1,0,0,2,0,0,58
38025,M,70-79,1,1,Veurne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,561,5,194,2,357,3,2,0,8,0,0,580
31004,M,50-59,1,0,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust,1429,17,118,3,1210,14,9,0,92,0,0,1523
11008,V,70-79,1,1,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen,2147,10,680,1,1437,9,4,0,26,0,0,2236
12002,V,18-29,1,0,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland,591,21,52,0,494,20,14,1,31,0,0,702
43010,V,60-69,1,0,Maldegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,755,5,107,1,637,4,5,0,6,0,0,786
23062,M,90-100+,1,1,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,84,5,53,4,26,0,0,1,5,0,0,99
73066,V,60-69,1,1,Riemst,Limburg,Vlaams Gewest,Zuid-Oost Limburg,471,1,106,0,358,1,4,0,3,0,0,497
44048,M,50-59,1,0,Nazareth,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,847,5,55,1,770,4,1,0,21,0,0,866
