NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
23088,V,18-29,1,0,Vilvoorde,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,2116,259,136,4,1848,253,28,2,104,0,0,3445
46014,M,40-49,1,0,Lokeren,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,2594,64,362,1,1677,63,14,0,541,0,0,2882
73066,M,70-79,1,1,Riemst,LIMBURG,VLAAMS GEWEST,ZOLim,742,5,337,4,399,1,1,0,5,0,0,769
37015,M,30-39,1,0,Tielt,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,1058,28,23,0,1012,28,7,0,15,1,0,1278
23077,V,18-29,1,0,Sint-Pieters-Leeuw,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,1586,86,90,1,1328,83,25,2,143,0,0,2484
23016,V,40-49,1,0,Dilbeek,VLAAMS-BRABANT,VLAAMS GEWEST,Pajottenland,2270,65,291,6,1528,58,22,1,429,0,0,2829
72037,V,40-49,1,0,Achel,LIMBURG,VLAAMS GEWEST,Noord-Limburg,688,7,106,1,423,6,6,0,153,0,0,826
34023,M,50-59,1,0,Kuurne,WEST-VLAANDEREN,VLAAMS GEWEST,Regio Kortrijk,930,5,133,0,293,2,422,3,82,0,0,994
41082,M,80-89,1,1,Burst,OOST-VLAANDEREN,VLAAMS GEWEST,Regio Aalst,393,8,169,5,210,3,2,0,12,0,0,415
31040,M,90-100+,1,1,Zedelgem,WEST-VLAANDEREN,VLAAMS GEWEST,WE40,62,1,43,1,18,0,0,0,1,0,0,71
