NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT
24016,M,40-49,1,0,560,Boutersem,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,40,86,3,32,33,51,2,3,2
71022,V,30-39,1,0,5108,Hasselt,Limburg,Vlaams Gewest,Herkenrode,769,488,294,104,431,111,37,273,7
71016,M,40-49,1,0,4306,Genk,Limburg,Vlaams Gewest,Kemp en Duin,246,996,90,626,130,366,17,4,9
44021,V,50-59,1,0,14710,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,2240,7631,534,2580,1439,1485,216,3566,51
42025,M,70-79,1,1,1024,Wetteren,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,683,368,0,353,676,15,5,0,2
38016,M,80-89,1,1,374,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,309,68,1,65,302,3,1,0,5
24043,V,50-59,1,0,790,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,223,240,36,128,172,111,8,1,7
11054,M,70-79,1,1,664,Zandhoven,Antwerpen,Vlaams Gewest,Voorkempen,484,216,0,212,481,4,1,0,2
11030,M,90-100+,1,1,21,Niel,Antwerpen,Vlaams Gewest,RupeLaar,16,11,0,11,14,0,0,0,2
34027,M,60-69,1,0,1073,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,172,802,2,263,158,533,10,6,2
73042,V,70-79,1,1,1316,Lanaken,Limburg,Vlaams Gewest,Maasland,769,550,3,533,758,17,5,0,3
23024,V,30-39,1,0,533,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,93,65,16,21,68,43,8,1,1
13010,V,60-69,1,1,359,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen,125,230,0,126,122,104,0,0,3
23003,V,70-79,1,1,1054,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei,803,204,1,186,795,18,4,0,3
24045,M,40-49,1,0,631,Huldenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,63,96,16,17,26,79,4,0,17
11007,V,70-79,1,1,535,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,264,266,4,259,177,4,72,3,11
34023,V,30-39,1,0,825,Kuurne,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,159,83,61,8,83,41,8,34,7
13019,M,50-59,1,0,1371,Lille,Antwerpen,Vlaams Gewest,Middenkempen,90,537,7,409,59,128,6,0,18
12029,V,60-69,1,0,602,Putte,Antwerpen,Vlaams Gewest,Bonstato,91,333,4,85,69,247,15,1,3
32011,M,60-69,1,1,377,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,100,266,0,56,98,210,0,0,2
24062,M,10-19,1,0,1016,Leuven,Vlaams-Brabant,Vlaams Gewest,Leuven,31,21,2,3,14,3,9,15,6
