NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT
44021,V,50-59,1,0,14710,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,4420,8180,838,2099,1654,3201,1867,2880,61
46003,V,30-39,1,0,2928,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,536,457,213,12,277,441,33,4,13
31040,M,40-49,1,0,1450,Zedelgem,West-Vlaanderen,Vlaams Gewest,WE40,387,301,36,86,116,214,10,1,225
31004,M,80-89,1,1,617,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust,433,142,12,137,417,5,2,0,2
24107,M,40-49,1,0,2358,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,326,950,53,206,145,739,18,5,110
46020,M,60-69,1,1,498,Sint-Gillis-Waas,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,429,54,12,52,410,2,7,0,0
13035,M,60-69,1,0,620,Ravels,Antwerpen,Vlaams Gewest,Kempenland,274,271,7,66,197,205,3,0,67
71070,M,40-49,1,0,2303,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim,207,472,32,89,158,381,12,2,5
24048,V,70-79,1,1,743,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,470,240,12,234,452,6,1,0,5
38008,M,40-49,1,0,614,De Panne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,49,226,14,58,26,167,3,1,6
34002,M,30-39,1,0,917,Anzegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,55,72,23,2,29,70,3,0,0
