NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
11002,V,18-29,1,0,42156,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,25520,3461,1938,12,9577,662,13304,2787,696,5,0
45041,V,30-39,1,0,1618,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,1173,53,107,1,1030,52,22,0,14,0,0
45062,V,18-29,1,0,119,Horebeke,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,105,11,13,0,84,11,5,0,3,0,0
71034,V,50-59,1,0,1123,Leopoldsburg,Limburg,Vlaams Gewest,West-Limburg,1006,34,254,19,711,15,9,0,32,0,0
31006,M,50-59,1,0,812,Damme,West-Vlaanderen,Vlaams Gewest,Oostkust,784,6,197,1,539,5,5,0,43,0,0
44019,V,60-69,1,0,1169,Evergem,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,1137,9,215,2,896,7,21,0,5,0,0
46013,V,12-17,0,0,595,Kruibeke,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,178,314,0,0,171,314,0,0,7,0,0
24007,V,60-69,1,0,392,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland,381,3,54,2,325,1,0,0,2,0,0
71020,M,50-59,1,0,734,Halen,Limburg,Vlaams Gewest,MidWestLim,699,5,186,1,501,4,1,0,11,0,0
34040,V,40-49,1,0,2384,Waregem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,2163,28,410,8,1519,19,21,1,213,0,0
71070,V,50-59,1,0,2323,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim,1979,80,756,67,1020,13,30,0,173,0,0
44021,M,18-29,1,0,24626,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,17942,1573,591,3,6763,390,10057,1180,529,2,0
71022,V,90-100+,1,1,722,Hasselt,Limburg,Vlaams Gewest,Herkenrode,643,20,266,9,340,10,1,1,36,0,0
23099,M,70-79,1,1,482,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,442,4,23,1,409,3,3,0,7,0,0
23096,M,30-39,1,0,1299,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,1184,21,44,0,1113,21,9,0,18,0,0
32006,M,12-17,0,0,337,Houthulst,West-Vlaanderen,Vlaams Gewest,Westhoek,79,225,0,0,76,225,0,0,3,0,0
36006,M,40-49,1,0,670,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL,619,8,80,3,431,5,2,0,106,0,0
42003,M,90-100+,1,1,39,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender,34,0,23,0,10,0,0,0,1,0,0
37012,M,90-100+,1,1,21,Ruiselede,West-Vlaanderen,Vlaams Gewest,RITS,21,0,15,0,6,0,0,0,0,0,0
71011,V,60-69,1,0,703,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode,680,3,175,1,212,2,277,0,16,0,0
24028,V,40-49,1,0,419,Geetbets,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,398,3,71,2,226,1,3,0,98,0,0
73022,V,50-59,1,0,562,Heers,Limburg,Vlaams Gewest,Haspengouw,532,5,182,1,270,4,5,0,75,0,0
12026,M,40-49,1,0,1549,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland,1394,44,208,31,1015,12,13,1,158,0,0
73006,V,60-69,1,0,1135,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,1065,17,372,4,667,13,16,0,10,0,0
12029,V,30-39,1,0,1067,Putte,Antwerpen,Vlaams Gewest,Bonstato,982,28,100,0,857,28,18,0,7,0,0
31043,V,40-49,1,0,1637,Knokke-Heist,West-Vlaanderen,Vlaams Gewest,Oostkust,1434,27,125,0,1170,26,30,1,109,0,0
13013,M,90-100+,1,1,68,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen,64,1,29,1,32,0,1,0,2,0,0
13029,M,60-69,1,1,382,Olen,Antwerpen,Vlaams Gewest,Middenkempen,368,2,111,1,253,1,2,0,2,0,0
23016,M,40-49,1,0,2758,Dilbeek,Vlaams-Brabant,Vlaams Gewest,Pajottenland,2155,51,278,6,1409,45,20,0,447,1,0
31040,M,70-79,1,1,1073,Zedelgem,West-Vlaanderen,Vlaams Gewest,WE40,1046,2,57,0,986,2,1,0,2,0,0
37018,M,12-17,0,0,539,Wingene,West-Vlaanderen,Vlaams Gewest,RITS,145,344,1,0,137,344,0,0,7,0,0
73066,M,12-17,0,0,545,Riemst,Limburg,Vlaams Gewest,Zuid-Oost Limburg,168,259,0,0,167,259,0,0,1,0,0
24045,M,30-39,1,0,574,Huldenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,506,7,20,0,478,6,3,1,5,0,0
71024,M,80-89,1,1,252,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode,242,1,104,0,137,1,0,0,1,0,0
44052,M,50-59,1,0,1020,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,968,8,500,2,427,6,7,0,34,0,0
13049,V,30-39,1,0,1506,Westerlo,Antwerpen,Vlaams Gewest,Zuiderkempen,1335,18,122,0,1166,18,33,0,14,0,0
31033,V,30-39,1,0,1249,Torhout,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,1139,17,155,1,963,16,16,0,5,0,0
23050,V,40-49,1,0,1244,Meise,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,1057,24,93,1,812,23,7,0,145,0,0
46020,V,70-79,1,1,917,Sint-Gillis-Waas,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,892,3,101,1,784,2,4,0,3,0,0
11016,M,0-11,0,0,1327,Essen,Antwerpen,Vlaams Gewest,Noorderkempen,3,44,0,0,3,44,0,0,0,0,0
44013,V,12-17,0,0,613,Destelbergen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,43,451,0,0,36,451,0,0,7,0,0
23094,M,40-49,1,0,2489,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,1797,133,437,80,1049,53,28,0,283,0,0
36006,V,18-29,1,0,620,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL,570,9,70,1,474,8,6,0,20,0,0
23094,V,60-69,1,0,1049,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,938,9,221,4,660,4,8,1,49,0,0
33029,V,18-29,1,0,1183,Wervik,West-Vlaanderen,Vlaams Gewest,Regio Menen,975,75,76,1,820,73,24,1,55,0,0
43014,M,70-79,1,1,306,Sint-Laureins,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,288,3,88,2,194,1,3,0,3,0,0
35006,M,0-11,0,0,914,Ichtegem,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,4,34,0,0,4,34,0,0,0,0,0
24009,V,90-100+,1,1,91,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,85,2,31,1,54,1,0,0,0,0,0
37017,M,90-100+,1,1,40,Wielsbeke,West-Vlaanderen,Vlaams Gewest,Regio Waregem,30,4,23,0,4,4,0,0,3,0,0
71067,M,50-59,1,0,576,Zutendaal,Limburg,Vlaams Gewest,Kemp en Duin,532,12,188,6,333,6,6,0,5,0,0
23096,M,70-79,1,1,865,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,829,8,281,1,537,7,3,0,8,0,0
23104,V,60-69,1,0,337,Lennik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,320,2,52,0,259,2,2,0,7,0,0
34027,M,80-89,1,1,753,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,713,13,161,2,548,11,2,0,2,0,0
72020,M,70-79,1,1,1624,Lommel,Limburg,Vlaams Gewest,Noord-Limburg,1567,11,400,3,1154,8,6,0,6,1,0
36019,M,60-69,1,1,293,Staden,West-Vlaanderen,Vlaams Gewest,Midden WVL,279,1,41,0,238,1,0,0,0,0,0
23096,V,90-100+,1,1,183,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,158,13,65,2,89,11,0,0,4,0,0
45063,M,50-59,1,0,500,Lierde,Oost-Vlaanderen,Vlaams Gewest,Panacea,478,5,99,1,369,3,6,1,4,0,0
43018,M,18-29,1,0,874,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,586,109,14,1,524,108,24,0,24,0,0
45068,V,90-100+,1,1,115,Kruisem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,98,5,48,5,47,0,0,0,3,0,0
46003,M,18-29,1,0,3291,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,2697,240,67,0,2230,239,22,1,378,0,0
23081,V,70-79,1,1,554,Steenokkerzeel,Vlaams-Brabant,Vlaams Gewest,BraViO,532,2,165,1,361,1,4,0,2,0,0
23105,M,60-69,1,0,430,Affligem,Vlaams-Brabant,Vlaams Gewest,AMALO,408,7,76,3,320,3,4,1,8,0,0
36007,M,90-100+,1,1,43,Ingelmunster,West-Vlaanderen,Vlaams Gewest,RITS,39,0,24,0,15,0,0,0,0,0,0
45062,V,70-79,1,1,124,Horebeke,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,116,0,43,0,73,0,0,0,0,0,0
11007,M,60-69,1,0,343,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,320,2,45,0,88,0,181,2,6,0,0
71037,V,70-79,1,1,683,Lummen,Limburg,Vlaams Gewest,MidWestLim,667,6,178,2,483,4,0,0,6,0,0
11005,V,90-100+,1,1,120,Boom,Antwerpen,Vlaams Gewest,RupeLaar,111,4,51,1,58,3,0,0,2,0,0
23025,M,30-39,1,0,2355,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,1516,65,54,0,1423,63,14,2,25,0,0
23101,M,12-17,0,0,759,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei,111,298,0,0,99,298,1,0,11,0,0
11007,V,30-39,1,0,785,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,562,37,37,1,226,13,293,23,6,0,0
11002,M,60-69,1,0,13563,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,12030,204,1149,21,3448,28,7274,155,155,4,0
13013,V,40-49,1,0,954,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen,894,7,249,3,537,4,15,0,93,0,0
38002,M,40-49,1,0,325,Alveringem,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,291,7,44,1,185,6,4,0,58,0,0
23062,M,60-69,1,1,658,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,611,8,102,1,494,7,9,0,6,0,0
13012,V,90-100+,1,1,56,Herenthout,Antwerpen,Vlaams Gewest,Middenkempen,47,7,11,6,35,1,0,0,1,0,0
13021,M,50-59,1,0,802,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,760,3,203,0,532,3,7,0,18,0,0
23038,V,12-17,0,0,431,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO,132,210,0,0,121,210,0,0,11,0,0
35005,V,60-69,1,1,309,Gistel,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,294,3,29,0,263,3,1,0,1,0,0
24007,M,40-49,1,0,661,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland,625,8,67,1,470,6,5,1,83,0,0
35006,M,80-89,1,1,286,Ichtegem,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,262,4,62,1,196,3,1,0,3,0,0
32010,M,70-79,1,1,373,Koekelare,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,357,2,94,0,261,2,0,0,2,0,0
13006,M,60-69,1,1,277,Dessel,Antwerpen,Vlaams Gewest,Baldemore,270,1,7,0,262,1,0,0,1,0,0
31043,V,18-29,1,0,1744,Knokke-Heist,West-Vlaanderen,Vlaams Gewest,Oostkust,1207,139,97,0,1048,139,21,0,41,0,0
13017,V,50-59,1,0,1507,Kasterlee,Antwerpen,Vlaams Gewest,Middenkempen,1418,19,425,12,866,7,19,0,107,1,0
31022,M,0-11,0,0,1543,Oostkamp,West-Vlaanderen,Vlaams Gewest,WE40,26,60,0,0,26,60,0,0,0,0,0
13036,V,40-49,1,0,714,Retie,Antwerpen,Vlaams Gewest,Baldemore,660,4,69,0,571,4,8,0,12,0,0
23044,M,18-29,1,0,892,Liedekerke,Vlaams-Brabant,Vlaams Gewest,AMALO,662,35,13,0,543,35,5,0,101,0,0
13029,M,30-39,1,0,780,Olen,Antwerpen,Vlaams Gewest,Middenkempen,660,20,9,0,633,20,5,0,13,0,0
23098,M,18-29,1,0,395,Drogenbos,Vlaams-Brabant,Vlaams Gewest,Zennevallei,182,51,1,0,171,51,0,0,10,0,0
41027,M,50-59,1,0,1441,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,1367,10,323,5,1013,5,13,0,18,0,0
71017,M,30-39,1,0,552,Gingelom,Limburg,Vlaams Gewest,Haspengouw,472,10,11,1,457,9,2,0,2,0,0
71066,V,30-39,1,0,1331,Zonhoven,Limburg,Vlaams Gewest,Herkenrode,1178,36,137,1,432,13,574,22,35,0,0
32006,M,50-59,1,0,754,Houthulst,West-Vlaanderen,Vlaams Gewest,Westhoek,707,12,201,2,414,10,2,0,90,0,0
71017,M,70-79,1,1,335,Gingelom,Limburg,Vlaams Gewest,Haspengouw,316,5,159,3,154,2,0,0,3,0,0
13004,M,80-89,1,1,359,Beerse,Antwerpen,Vlaams Gewest,Kempenland,339,5,58,3,281,2,0,0,0,0,0
23101,V,30-39,1,0,986,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei,712,70,27,1,660,69,11,0,14,0,0
41063,M,40-49,1,0,817,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea,755,8,77,1,496,7,3,0,179,0,0
24062,V,60-69,1,1,2453,Leuven,Vlaams-Brabant,Vlaams Gewest,Leuven,2313,13,708,7,829,2,747,4,29,0,0
23052,V,50-59,1,0,1252,Merchtem,Vlaams-Brabant,Vlaams Gewest,AMALO,1161,23,274,6,869,17,12,0,6,0,0
71045,V,60-69,1,0,238,Nieuwerkerken,Limburg,Vlaams Gewest,Haspengouw,236,0,53,0,181,0,1,0,1,0,0
