NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,BOOSTER_AMT,POPULATION_NBR
73022,M,18-29,1,0,Heers,LIMBURG,VLAAMS GEWEST,Haspengouw,416,3,7,0,367,2,4,1,38,0,0,27,459
11039,M,90-100+,1,1,Schilde,ANTWERPEN,VLAAMS GEWEST,Voorkempen,71,2,32,0,33,2,0,0,6,0,0,58,82
41048,M,70-79,1,1,Ninove,OOST-VLAANDEREN,VLAAMS GEWEST,Dender Zuid,1619,6,321,0,1278,6,4,0,16,0,0,1506,1671
72021,V,60-69,1,0,Maaseik,LIMBURG,VLAAMS GEWEST,Maasland,881,3,354,1,505,2,9,0,12,1,0,246,940
36012,V,90-100+,1,1,Moorslede,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,103,5,36,2,62,3,0,0,5,0,0,86,116
11044,M,18-29,1,0,Stabroek,ANTWERPEN,VLAAMS GEWEST,Antwerpen Centrum-Noord-Oost-Zuid,1055,12,17,0,422,6,542,6,74,0,0,98,1207
44020,V,12-17,0,0,Gavere,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,383,0,1,0,374,0,0,0,8,0,0,11,407
35014,M,50-59,1,0,Oudenburg,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,691,5,123,2,549,3,6,0,13,0,0,74,725
46020,M,90-100+,1,1,Sint-Gillis-Waas,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,63,1,34,0,28,1,1,0,0,0,0,51,66
72043,V,70-79,1,1,Overpelt,LIMBURG,VLAAMS GEWEST,Noord-Limburg,1416,9,328,1,1068,7,8,1,12,0,0,1324,1458
13029,M,18-29,1,0,Olen,ANTWERPEN,VLAAMS GEWEST,Middenkempen,757,9,14,0,659,8,6,1,78,0,0,79,833
43002,M,40-49,1,0,Assenede,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,850,4,115,1,523,3,6,0,205,1,0,211,917
24086,V,60-69,1,0,Oud-Heverlee,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Zuid,378,2,44,0,313,2,4,0,17,0,0,125,390
41034,M,90-100+,1,1,Lede,OOST-VLAANDEREN,VLAAMS GEWEST,Regio Aalst,47,0,24,0,21,0,0,0,1,1,0,38,55
23047,M,40-49,1,0,Machelen,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,823,23,121,4,584,17,8,2,110,0,0,45,1034
23003,M,30-39,1,0,Beersel,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,1208,33,40,0,1110,33,14,0,44,0,0,92,1452
13053,M,60-69,1,1,Eindhout,ANTWERPEN,VLAAMS GEWEST,Zuiderkempen,529,0,113,0,407,0,0,0,9,0,0,442,545
35013,M,12-17,0,0,Oostende,WEST-VLAANDEREN,VLAAMS GEWEST,Oostende-Bredene,1624,56,3,0,1604,56,5,0,12,0,0,9,1918
44021,M,50-59,1,0,Gent,OOST-VLAANDEREN,VLAAMS GEWEST,Gent,14115,109,2753,10,5073,68,6018,30,262,9,1,1756,15480
24020,M,30-39,1,0,Diest,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,1317,12,31,0,1243,12,18,0,25,0,0,82,1442
37002,V,40-49,1,0,Dentergem,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,574,6,131,2,370,4,5,0,68,0,0,180,610
46014,M,40-49,1,0,Lokeren,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,2666,28,364,0,1748,28,14,0,540,0,0,253,2882
46024,M,60-69,1,1,Stekene,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,574,1,80,0,486,1,2,0,6,0,0,152,593
71022,V,60-69,1,0,Hasselt,LIMBURG,VLAAMS GEWEST,Herkenrode,2724,7,712,2,872,5,1059,0,80,1,0,788,2880
36011,V,60-69,1,0,Lichtervelde,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,269,0,96,0,170,0,1,0,2,0,0,79,277
