NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11013,M,20-29,1,0,1169,37,39,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
11021,V,30-39,1,0,412,62,38,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
13011,M,70-79,1,1,1160,100,40,Herentals,Antwerpen,Vlaams Gewest,Middenkempen
11002,M,10-19,0,0,25129,2,6,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11016,V,0-9,0,0,1102,0,0,Essen,Antwerpen,Vlaams Gewest,Noorderkempen
12025,M,0-9,0,0,5556,0,0,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne
24008,V,10-19,1,0,56,1,1,Bekkevoort,Vlaams-Brabant,Vlaams Gewest,Demerland
23103,V,20-29,1,0,798,44,34,Wezembeek-Oppem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
11039,M,20-29,1,0,1032,32,16,Schilde,Antwerpen,Vlaams Gewest,Voorkempen
13037,M,10-19,0,0,571,0,0,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland
11023,M,70-79,1,1,1282,91,38,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
12002,V,30-39,1,0,656,80,60,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland
11029,M,10-19,1,0,261,4,0,Mortsel,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
23104,M,0-9,0,0,465,0,0,Lennik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
24107,V,50-59,1,0,2417,187,368,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
13019,V,10-19,1,0,172,3,8,Lille,Antwerpen,Vlaams Gewest,Middenkempen
24104,M,60-69,1,1,520,24,17,Tervuren,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
42004,M,60-69,1,1,435,6,8,Buggenhout,Oost-Vlaanderen,Vlaams Gewest,Dender
13037,V,60-69,1,1,303,6,11,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland
24059,M,10-19,0,0,759,0,1,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
13023,M,0-9,0,0,433,0,0,Merksplas,Antwerpen,Vlaams Gewest,Kempenland
11052,V,0-9,0,0,676,0,0,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
44085,M,20-29,1,0,1407,38,45,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
13016,V,10-19,0,0,411,0,2,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen
12005,M,50-59,1,0,1220,40,56,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato
23032,V,30-39,1,0,392,31,34,Herne,Vlaams-Brabant,Vlaams Gewest,Pajottenland
13002,V,20-29,1,0,170,16,8,Baarle-Hertog,Antwerpen,Vlaams Gewest,Kempenland
23002,V,10-19,0,0,1597,0,1,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO
24135,V,70-79,1,1,481,30,6,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest,Demerland
35011,V,10-19,1,0,140,1,9,Middelkerke,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
41018,V,10-19,1,0,381,5,8,Geraardsbergen,Oost-Vlaanderen,Vlaams Gewest,Dender Zuid
33040,V,60-69,1,0,223,10,29,Langemark-Poelkapelle,West-Vlaanderen,Vlaams Gewest,Westhoek
36006,M,60-69,1,1,266,22,17,Hooglede,West-Vlaanderen,Vlaams Gewest,Midden WVL
42023,M,0-9,0,0,646,0,0,Waasmunster,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
45061,V,20-29,1,0,330,35,35,Wortegem-Petegem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
31003,M,70-79,1,1,696,20,38,Beernem,West-Vlaanderen,Vlaams Gewest,WE40
44084,M,20-29,1,0,1755,59,61,Aalter,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
24028,V,70-79,1,1,257,4,11,Geetbets,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
43002,V,10-19,0,0,591,0,1,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
46013,V,0-9,0,0,951,0,0,Kruibeke,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
24007,V,90-100+,1,1,65,55,21,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland
41082,V,30-39,1,0,1262,126,124,Erpe-Mere,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
13013,M,0-9,0,0,691,0,0,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen
36012,V,80-89,1,1,396,211,65,Moorslede,West-Vlaanderen,Vlaams Gewest,Midden WVL
71004,M,20-29,1,0,2654,51,40,Beringen,Limburg,Vlaams Gewest,West-Limburg
71020,V,70-79,1,1,425,8,13,Halen,Limburg,Vlaams Gewest,MidWestLim
23086,M,20-29,1,0,925,31,20,Ternat,Vlaams-Brabant,Vlaams Gewest,Pajottenland
71053,V,20-29,1,0,2125,156,191,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw
42023,V,80-89,1,1,312,179,27,Waasmunster,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
71011,M,60-69,1,0,722,16,18,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode
11023,M,0-9,0,0,1359,0,0,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
24007,V,10-19,0,0,480,0,0,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland
23060,V,10-19,0,0,749,0,3,Opwijk,Vlaams-Brabant,Vlaams Gewest,AMALO
