NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11044,M,10-19,1,0,218,2,0,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
23032,M,10-19,0,0,308,0,0,Herne,Vlaams-Brabant,Vlaams Gewest,Pajottenland
13014,V,60-69,1,0,674,33,59,Hoogstraten,Antwerpen,Vlaams Gewest,Kempenland
32030,M,60-69,1,1,83,3,6,Lo-Reninge,West-Vlaanderen,Vlaams Gewest,Westhoek
11052,M,60-69,1,0,452,11,12,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11055,V,10-19,1,0,222,5,6,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen
13036,M,50-59,1,0,936,28,17,Retie,Antwerpen,Vlaams Gewest,Baldemore
13049,M,20-29,1,0,1269,36,25,Westerlo,Antwerpen,Vlaams Gewest,Zuiderkempen
32030,V,70-79,1,1,122,5,12,Lo-Reninge,West-Vlaanderen,Vlaams Gewest,Westhoek
11013,M,50-59,1,0,1389,63,40,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
23024,V,60-69,1,1,268,18,11,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
13011,V,10-19,1,0,275,8,11,Herentals,Antwerpen,Vlaams Gewest,Middenkempen
11054,V,70-79,1,1,624,11,28,Zandhoven,Antwerpen,Vlaams Gewest,Voorkempen
13040,V,30-39,1,0,2910,247,162,Turnhout,Antwerpen,Vlaams Gewest,Kempenland
23045,V,60-69,1,1,533,15,17,Londerzeel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
23045,M,60-69,1,1,486,12,18,Londerzeel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
11009,V,0-9,0,0,1458,0,0,Brecht,Antwerpen,Vlaams Gewest,Voorkempen
13012,V,80-89,1,1,297,91,62,Herenthout,Antwerpen,Vlaams Gewest,Middenkempen
32011,V,0-9,0,0,709,0,0,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
13002,M,20-29,1,0,174,3,2,Baarle-Hertog,Antwerpen,Vlaams Gewest,Kempenland
44085,M,10-19,0,0,1128,0,0,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
11044,V,60-69,1,0,663,34,40,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11056,V,60-69,1,0,715,37,59,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland
24033,V,0-9,0,0,718,0,0,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
13053,V,60-69,1,0,620,40,20,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen
12026,M,60-69,1,1,649,9,10,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland
23098,M,80-89,1,1,91,32,4,Drogenbos,Vlaams-Brabant,Vlaams Gewest,Zennevallei
24109,M,10-19,1,0,134,4,2,Tremelo,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
