NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11002,V,90-100+,1,1,3826,1498,1709,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11007,V,60-69,1,0,381,17,53,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
13001,M,10-19,0,0,618,0,0,Arendonk,Antwerpen,Vlaams Gewest,Kempenland
13019,M,60-69,1,1,507,6,15,Lille,Antwerpen,Vlaams Gewest,Middenkempen
11044,M,90-100+,1,1,38,24,22,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
11018,V,20-29,1,0,627,59,51,Hemiksem,Antwerpen,Vlaams Gewest,RupeLaar
12026,V,60-69,1,0,767,49,78,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland
12009,V,10-19,0,0,766,0,1,Duffel,Antwerpen,Vlaams Gewest,Pallieterland
12041,M,20-29,1,0,1451,51,84,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
13046,V,10-19,1,0,121,2,5,Vosselaar,Antwerpen,Vlaams Gewest,Kempenland
23025,M,60-69,1,0,1107,44,50,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
11052,M,30-39,1,0,782,13,17,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
24014,M,10-19,0,0,580,0,0,Boortmeerbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
11053,V,80-89,1,1,486,269,63,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
13021,V,70-79,1,1,442,4,31,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen
12021,M,50-59,1,0,2639,93,71,Lier,Antwerpen,Vlaams Gewest,Pallieterland
45063,M,20-29,1,0,341,13,5,Lierde,Oost-Vlaanderen,Vlaams Gewest,Panacea
12021,V,10-19,1,0,372,2,7,Lier,Antwerpen,Vlaams Gewest,Pallieterland
24008,V,80-89,1,1,200,52,28,Bekkevoort,Vlaams-Brabant,Vlaams Gewest,Demerland
41027,V,10-19,0,0,794,0,0,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
13002,M,80-89,1,1,59,17,1,Baarle-Hertog,Antwerpen,Vlaams Gewest,Kempenland
13013,M,90-100+,1,1,62,43,29,Herselt,Antwerpen,Vlaams Gewest,Zuiderkempen
24109,V,60-69,1,1,452,11,22,Tremelo,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
31003,V,50-59,1,0,1095,129,164,Beernem,West-Vlaanderen,Vlaams Gewest,WE40
32006,V,90-100+,1,1,98,41,62,Houthulst,West-Vlaanderen,Vlaams Gewest,Westhoek
37020,V,90-100+,1,1,100,51,48,Ardooie,West-Vlaanderen,Vlaams Gewest,Midden WVL
38002,M,60-69,1,0,164,0,6,Alveringem,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
71016,M,10-19,0,0,3177,0,1,Genk,Limburg,Vlaams Gewest,Kemp en Duin
23088,V,20-29,1,0,2884,145,100,Vilvoorde,Vlaams-Brabant,Vlaams Gewest,BraViO
31033,V,20-29,1,0,1092,112,128,Torhout,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
24109,V,10-19,0,0,617,0,0,Tremelo,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
34042,V,80-89,1,1,794,392,139,Zwevegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
43014,V,30-39,1,0,362,38,50,Sint-Laureins,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
45061,M,10-19,1,0,79,1,1,Wortegem-Petegem,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
42028,V,40-49,1,0,1352,117,115,Zele,Oost-Vlaanderen,Vlaams Gewest,Dender
34002,V,70-79,1,1,671,39,27,Anzegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
12029,V,70-79,1,1,889,11,29,Putte,Antwerpen,Vlaams Gewest,Bonstato
42004,V,30-39,1,0,860,82,99,Buggenhout,Oost-Vlaanderen,Vlaams Gewest,Dender
24048,V,40-49,1,0,845,74,72,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
73098,M,90-100+,1,1,16,11,6,Wellen,Limburg,Vlaams Gewest,Haspengouw
23097,V,0-9,0,0,589,0,0,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland
31004,M,0-9,0,0,794,0,0,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
44040,M,80-89,1,1,228,159,22,Melle,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
24043,V,10-19,1,0,109,2,2,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
41027,V,60-69,1,0,555,29,51,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
72038,V,50-59,1,0,949,83,84,Hechtel-Eksel,Limburg,Vlaams Gewest,Noord-Limburg
73109,V,60-69,1,1,124,23,3,Voeren,Limburg,Vlaams Gewest,Zuid-Oost Limburg
