NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,PARTLY_VACCINATED_JJ_AMT
23039,V,40-49,1,0,631,Kapelle-op-den-Bos,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,43,49,0,41,36,6,7,2,0,0
13019,M,80-89,1,1,301,Lille,Antwerpen,Vlaams Gewest,Middenkempen,22,264,0,32,22,232,0,0,0,0
23099,M,70-79,1,1,467,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,20,106,0,28,20,77,0,1,0,0
24137,M,30-39,1,0,285,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,6,15,0,12,5,3,1,0,0,0
31006,V,80-89,1,1,420,Damme,West-Vlaanderen,Vlaams Gewest,Oostkust,72,278,0,106,72,172,0,0,0,0
12007,M,90-100+,1,1,64,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,27,60,0,52,27,8,0,0,0,0
13025,M,30-39,1,0,2271,Mol,Antwerpen,Vlaams Gewest,Baldemore,55,84,0,69,49,10,6,5,0,0
24009,V,90-100+,1,1,87,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,60,39,0,37,60,2,0,0,0,0
24038,M,50-59,1,0,1487,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,88,70,0,57,84,9,4,4,0,0
24133,M,90-100+,1,1,18,Linter,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,7,14,0,14,7,0,0,0,0,0
24137,M,50-59,1,0,458,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,27,36,0,28,27,6,0,2,0,0
34043,M,60-69,1,1,45,Spiere-Helkijn,West-Vlaanderen,Vlaams Gewest,Regio Waregem,1,4,0,1,1,3,0,0,0,0
43007,V,80-89,1,1,229,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,42,155,0,51,42,104,0,0,0,0
46021,M,90-100+,1,1,247,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,90,187,0,167,90,17,0,3,0,0
43018,M,10-19,0,0,554,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,0,0,0,0,0,0,0,0,0,0
13049,M,10-19,1,0,253,Westerlo,Antwerpen,Vlaams Gewest,Zuiderkempen,8,1,0,1,7,0,1,0,0,0
23102,V,0-9,0,0,1056,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,0,0,0,0,0,0,0,0,0,0
23044,M,0-9,0,0,770,Liedekerke,Vlaams-Brabant,Vlaams Gewest,AMALO,0,0,0,0,0,0,0,0,0,0
24059,M,70-79,1,1,643,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,25,63,0,27,24,33,1,3,0,0
42025,M,0-9,0,0,1422,Wetteren,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,0,0,0,0,0,0,0,0,0,0
44052,M,0-9,0,0,796,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,0,0,0,0,0,0,0,0,0,0
