NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT
12025,M,0-9,0,0,5556,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,0,0,0,0,0,0,0,0,0
11025,M,20-29,1,0,503,Lint,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,17,26,0,18,14,8,2,0,1
13011,M,70-79,1,1,1160,Herentals,Antwerpen,Vlaams Gewest,Middenkempen,45,1099,0,340,43,752,1,7,1
42006,V,60-69,1,0,1611,Dendermonde,Oost-Vlaanderen,Vlaams Gewest,Dender,165,329,0,160,155,169,9,0,1
45065,V,90-100+,1,1,62,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,34,36,0,35,34,1,0,0,0
36010,M,0-9,0,0,538,Ledegem,West-Vlaanderen,Vlaams Gewest,Midden WVL,0,0,0,0,0,0,0,0,0
73066,M,20-29,1,0,895,Riemst,Limburg,Vlaams Gewest,Zuid-Oost Limburg,21,29,0,21,19,6,2,2,0
46013,V,90-100+,1,1,119,Kruibeke,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,61,79,0,79,61,0,0,0,0
32030,M,90-100+,1,1,22,Lo-Reninge,West-Vlaanderen,Vlaams Gewest,Westhoek,12,11,0,10,12,1,0,0,0
34003,V,0-9,0,0,553,Avelgem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,0,0,0,0,0,0,0,0,0
71017,V,40-49,1,0,578,Gingelom,Limburg,Vlaams Gewest,Haspengouw,68,72,0,56,62,16,6,0,0
43002,V,40-49,1,0,936,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,130,76,0,67,121,8,9,1,0
13037,V,90-100+,1,1,57,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland,44,33,0,31,44,2,0,0,0
23033,M,70-79,1,1,431,Hoeilaart,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,16,421,0,138,15,282,1,1,0
11035,V,20-29,1,0,1012,Ranst,Antwerpen,Vlaams Gewest,Pallieterland,113,109,0,69,99,35,14,5,0
23060,V,20-29,1,0,810,Opwijk,Vlaams-Brabant,Vlaams Gewest,AMALO,64,84,0,61,57,23,7,0,0
23052,M,0-9,0,0,935,Merchtem,Vlaams-Brabant,Vlaams Gewest,AMALO,0,0,0,0,0,0,0,0,0
24048,M,50-59,1,0,1029,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,43,30,0,20,34,7,8,3,1
44084,M,40-49,1,0,1953,Aalter,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,46,65,0,55,38,10,7,0,1
34013,M,60-69,1,0,963,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,42,192,0,73,40,97,2,22,0
43018,M,30-39,1,0,876,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,54,12,0,7,26,4,28,1,0
11055,V,60-69,1,1,724,Zoersel,Antwerpen,Vlaams Gewest,Voorkempen,61,598,0,129,60,462,1,7,0
13002,M,60-69,1,0,92,Baarle-Hertog,Antwerpen,Vlaams Gewest,Kempenland,1,11,0,2,1,8,0,1,0
24008,V,20-29,1,0,330,Bekkevoort,Vlaams-Brabant,Vlaams Gewest,Demerland,35,42,0,32,32,9,3,1,0
35002,V,50-59,1,0,1371,Bredene,West-Vlaanderen,Vlaams Gewest,Oostende-Bredene,156,141,0,107,148,29,8,5,0
37012,V,10-19,0,0,227,Ruiselede,West-Vlaanderen,Vlaams Gewest,RITS,3,0,0,0,3,0,0,0,0
44085,V,70-79,1,1,1365,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,122,1250,0,519,117,730,5,1,0
34013,M,40-49,1,0,1805,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,42,65,0,45,38,13,3,7,1
71022,V,90-100+,1,1,697,Hasselt,Limburg,Vlaams Gewest,Herkenrode,380,400,0,357,380,42,0,1,0
31003,M,70-79,1,1,696,Beernem,West-Vlaanderen,Vlaams Gewest,WE40,43,675,0,139,39,526,3,10,1
44040,M,20-29,1,0,652,Melle,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,26,28,0,9,22,15,4,4,0
44083,V,40-49,1,0,2931,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,383,283,1,218,345,64,36,1,1
71017,M,30-39,1,0,561,Gingelom,Limburg,Vlaams Gewest,Haspengouw,17,16,0,13,15,3,2,0,0
23024,M,20-29,1,0,496,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,12,19,0,14,10,5,2,0,0
13004,V,10-19,1,0,223,Beerse,Antwerpen,Vlaams Gewest,Kempenland,13,8,0,2,10,4,3,2,0
73006,M,10-19,0,0,1371,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,0,0,0,0,0,0,0,0,0
71045,M,0-9,0,0,363,Nieuwerkerken,Limburg,Vlaams Gewest,Haspengouw,0,0,0,0,0,0,0,0,0
71037,M,10-19,1,0,128,Lummen,Limburg,Vlaams Gewest,MidWestLim,3,2,0,0,3,2,0,0,0
11030,M,10-19,0,0,538,Niel,Antwerpen,Vlaams Gewest,RupeLaar,1,2,0,0,1,2,0,0,0
11013,M,20-29,1,0,1169,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,40,58,0,34,36,18,4,6,0
13044,M,80-89,1,1,160,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen,35,134,0,27,35,107,0,0,0
46021,M,0-9,0,0,4905,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,0,0,0,0,0,0,0,0,0
71017,V,60-69,1,0,263,Gingelom,Limburg,Vlaams Gewest,Haspengouw,32,46,0,22,29,24,3,0,0
23024,M,60-69,1,0,334,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland,17,63,0,18,14,43,3,2,0
31043,M,20-29,1,0,1608,Knokke-Heist,West-Vlaanderen,Vlaams Gewest,Oostkust,53,59,1,40,52,19,0,0,0
44084,M,0-9,0,0,1418,Aalter,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,0,0,0,0,0,0,0,0,0
13010,V,60-69,1,1,342,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen,18,311,0,123,18,188,0,0,0
23009,V,30-39,1,0,132,Bever,Vlaams-Brabant,Vlaams Gewest,Pajottenland,15,6,0,3,13,3,2,0,0
24033,M,60-69,1,0,508,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,28,62,0,22,25,40,3,0,0
71022,V,70-79,1,1,3885,Hasselt,Limburg,Vlaams Gewest,Herkenrode,1011,2951,0,1424,227,699,784,828,0
11002,V,40-49,1,0,32236,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,1796,1918,1,1395,1521,301,265,222,9
11057,V,0-9,0,0,712,Malle,Antwerpen,Vlaams Gewest,Voorkempen,0,0,0,0,0,0,0,0,0
37011,M,90-100+,1,1,28,Pittem,West-Vlaanderen,Vlaams Gewest,RITS,15,16,0,16,15,0,0,0,0
42011,V,80-89,1,1,637,Lebbeke,Oost-Vlaanderen,Vlaams Gewest,Dender,232,367,0,74,230,293,1,0,1
44019,V,10-19,0,0,1533,Evergem,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,2,1,0,0,2,1,0,0,0
23016,V,10-19,1,0,487,Dilbeek,Vlaams-Brabant,Vlaams Gewest,Pajottenland,9,8,0,2,9,6,0,0,0
33040,V,60-69,1,0,223,Langemark-Poelkapelle,West-Vlaanderen,Vlaams Gewest,Westhoek,31,55,0,13,27,42,4,0,0
42010,M,60-69,1,0,445,Laarne,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,17,211,0,151,15,60,2,0,0
73006,M,10-19,1,0,317,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,2,7,0,2,2,5,0,0,0
71053,M,80-89,1,1,858,Sint-Truiden,Limburg,Vlaams Gewest,Haspengouw,260,638,0,193,237,445,12,0,11
23094,M,20-29,1,0,2074,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,54,63,0,34,50,28,4,1,0
41082,M,60-69,1,0,738,Erpe-Mere,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,35,138,0,42,30,93,4,3,1
13014,M,70-79,1,1,941,Hoogstraten,Antwerpen,Vlaams Gewest,Kempenland,27,930,0,219,27,709,0,2,0
24066,M,60-69,1,0,544,Lubbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,42,76,0,36,39,39,3,1,0
35014,V,90-100+,1,1,61,Oudenburg,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,37,52,0,49,37,3,0,0,0
11040,M,0-9,0,0,1813,Schoten,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,0,0,0,0,0,0,0,0,0
24137,V,0-9,0,0,234,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,0,0,0,0,0,0,0,0,0
13053,M,0-9,0,0,844,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen,0,0,0,0,0,0,0,0,0
24007,V,60-69,1,0,382,Begijnendijk,Vlaams-Brabant,Vlaams Gewest,Demerland,48,53,0,9,48,44,0,0,0
36010,V,90-100+,1,1,78,Ledegem,West-Vlaanderen,Vlaams Gewest,Midden WVL,47,49,0,39,47,10,0,0,0
11029,V,60-69,1,1,685,Mortsel,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,56,605,0,157,54,444,2,4,0
38025,M,50-59,1,0,884,Veurne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,49,56,0,41,46,13,3,2,0
44045,M,80-89,1,1,120,Moerbeke,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland,22,87,0,13,21,74,1,0,0
