NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11001,M,30-39,1,0,772,19,17,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar
11001,M,10-19,0,0,632,0,0,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar
11007,V,60-69,1,1,323,7,6,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
13010,M,10-19,0,0,441,0,0,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen
23002,M,10-19,0,0,1621,0,0,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO
11023,M,50-59,1,0,2049,61,16,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
12002,V,40-49,1,0,776,82,49,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland
13053,V,70-79,1,1,710,1,16,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen
23105,V,20-29,1,0,663,57,29,Affligem,Vlaams-Brabant,Vlaams Gewest,AMALO
11035,V,60-69,1,1,592,18,16,Ranst,Antwerpen,Vlaams Gewest,Pallieterland
13035,M,80-89,1,1,273,5,11,Ravels,Antwerpen,Vlaams Gewest,Kempenland
11053,M,10-19,0,0,945,0,0,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
13031,M,90-100+,1,1,34,3,9,Oud-Turnhout,Antwerpen,Vlaams Gewest,Kempenland
23025,V,10-19,1,0,432,4,6,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
24038,M,40-49,1,0,1342,65,32,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23002,M,90-100+,1,1,95,4,19,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO
36007,M,10-19,1,0,107,0,2,Ingelmunster,West-Vlaanderen,Vlaams Gewest,RITS
11021,M,30-39,1,0,370,22,8,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
24038,V,90-100+,1,1,172,17,80,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
12007,M,10-19,1,0,249,1,4,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
11008,V,20-29,1,0,1957,166,71,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen
