NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
23101,V,18-29,1,0,1190,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei,501,264,34,4,407,260,11,0,49,0,0
45060,V,40-49,1,0,415,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,374,12,75,7,203,5,1,0,95,0,0
46003,V,30-39,1,0,2928,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,2598,74,224,1,2304,72,42,1,28,0,0
42003,V,60-69,1,1,481,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender,468,4,97,3,364,1,5,0,2,0,0
41034,V,12-17,0,0,608,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,131,371,0,0,121,371,2,0,8,0,0
71016,M,40-49,1,0,4306,Genk,Limburg,Vlaams Gewest,Kemp en Duin,3238,371,737,287,1608,84,29,0,863,1,0
11004,M,60-69,1,1,405,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,392,2,62,0,321,2,4,0,5,0,0
13031,M,60-69,1,1,467,Oud-Turnhout,Antwerpen,Vlaams Gewest,Kempenland,443,10,32,0,408,10,2,0,1,0,0
24107,M,60-69,1,1,1028,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,988,11,76,3,902,6,4,2,6,0,0
11007,V,70-79,1,1,535,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,504,8,232,2,184,3,75,3,13,0,0
12029,V,60-69,1,0,602,Putte,Antwerpen,Vlaams Gewest,Bonstato,577,2,100,0,457,2,16,0,4,0,0
73006,V,40-49,1,0,2084,Bilzen,Limburg,Vlaams Gewest,Zuid-Oost Limburg,1806,101,337,55,1249,46,41,0,179,0,0
72039,M,30-39,1,0,2002,Houthalen-Helchteren,Limburg,Vlaams Gewest,MidWestLim,1543,117,32,0,1396,116,10,1,105,0,0
32011,V,40-49,1,0,746,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,618,81,104,70,433,11,5,0,76,0,0
41034,V,50-59,1,0,1346,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,1195,108,306,100,841,7,29,1,19,0,0
23105,M,18-29,1,0,804,Affligem,Vlaams-Brabant,Vlaams Gewest,AMALO,521,144,32,0,375,144,7,0,107,0,0
23098,V,40-49,1,0,436,Drogenbos,Vlaams-Brabant,Vlaams Gewest,Zennevallei,286,42,30,17,210,25,11,0,34,1,0
43002,V,90-100+,1,1,116,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,108,3,40,2,67,1,0,0,1,0,0
31005,V,18-29,1,0,7953,Brugge,West-Vlaanderen,Vlaams Gewest,Brugge,4923,2031,636,3,3640,2024,158,4,489,0,0
34040,V,50-59,1,0,2866,Waregem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,2634,114,684,92,1759,22,47,0,144,0,0
36012,V,40-49,1,0,677,Moorslede,West-Vlaanderen,Vlaams Gewest,Midden WVL,620,17,100,9,426,8,8,0,86,0,0
42003,V,40-49,1,0,1050,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender,916,62,147,51,592,11,10,0,167,0,0
71024,V,60-69,1,0,454,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode,433,2,115,0,148,2,154,0,16,0,0
44021,V,0-11,0,0,16754,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,1,225,0,0,0,218,1,7,0,0,0
43007,V,60-69,1,1,180,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,171,2,49,0,120,2,0,0,2,0,0
32006,M,40-49,1,0,663,Houthulst,West-Vlaanderen,Vlaams Gewest,Westhoek,485,129,63,124,378,5,3,0,41,0,0
35005,V,90-100+,1,1,81,Gistel,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,74,3,36,2,38,1,0,0,0,0,0
24033,M,12-17,0,0,544,Haacht,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,40,395,0,0,18,395,0,0,22,0,0
24109,M,30-39,1,0,777,Tremelo,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,716,16,17,0,654,16,9,0,36,0,0
23100,M,70-79,1,1,179,Linkebeek,Vlaams-Brabant,Vlaams Gewest,Zennevallei,163,2,25,1,137,1,0,0,1,0,0
41011,V,70-79,1,1,826,Denderleeuw,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,788,11,196,2,585,9,1,0,6,0,0
44021,M,80-89,1,1,4340,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,3985,72,2060,21,753,39,957,12,215,0,0
44043,V,30-39,1,0,1592,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,1430,47,153,1,1226,44,39,2,12,0,0
73109,V,18-29,1,0,262,Voeren,Limburg,Vlaams Gewest,Zuid-Oost Limburg,150,20,12,1,132,19,5,0,1,0,0
44083,M,80-89,1,1,965,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,901,22,286,11,599,11,8,0,8,0,0
11044,M,30-39,1,0,1176,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,958,51,14,0,366,11,569,40,9,0,0
72043,M,80-89,1,1,786,Pelt,Limburg,Vlaams Gewest,Noord-Limburg,741,12,327,7,406,5,5,0,3,0,0
35006,V,40-49,1,0,856,Ichtegem,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,777,39,125,26,490,13,6,0,156,0,0
71070,V,30-39,1,0,2261,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim,1636,141,138,2,1464,138,27,1,7,0,0
13021,V,70-79,1,1,464,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,451,2,120,1,323,1,2,0,6,0,0
13002,V,80-89,1,1,74,Baarle-Hertog,Antwerpen,Vlaams Gewest,Kempenland,69,0,10,0,57,0,0,0,2,0,0
37011,M,90-100+,1,1,25,Pittem,West-Vlaanderen,Vlaams Gewest,RITS,23,1,15,1,8,0,0,0,0,0,0
71011,V,30-39,1,0,1196,Diepenbeek,Limburg,Vlaams Gewest,Herkenrode,1044,38,114,2,401,16,508,20,21,0,0
45041,V,60-69,1,0,834,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,745,11,97,2,628,9,8,0,12,0,0
42010,M,50-59,1,0,908,Laarne,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,733,140,170,134,485,5,4,1,74,0,0
38016,M,40-49,1,0,563,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,415,52,75,40,265,12,2,0,73,0,0
11053,V,70-79,1,1,846,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen,815,12,261,3,541,9,0,0,13,0,0
23002,M,0-11,0,0,2648,Asse,Vlaams-Brabant,Vlaams Gewest,AMALO,3,52,0,0,3,52,0,0,0,0,0
34025,V,60-69,1,0,203,Lendelede,West-Vlaanderen,Vlaams Gewest,RITS,200,0,23,0,174,0,2,0,1,0,0
44081,V,90-100+,1,1,97,Zulte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,81,6,46,3,32,2,0,1,3,0,0
11005,V,12-17,0,0,734,Boom,Antwerpen,Vlaams Gewest,RupeLaar,72,237,0,0,67,237,1,0,4,0,0
32010,V,60-69,1,1,286,Koekelare,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,275,4,39,1,234,3,0,0,2,0,0
13019,M,70-79,1,1,742,Lille,Antwerpen,Vlaams Gewest,Middenkempen,719,5,223,0,495,5,0,0,1,0,0
34002,V,18-29,1,0,960,Anzegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,777,124,95,0,586,122,14,2,82,0,0
24066,V,90-100+,1,1,96,Lubbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,90,2,21,0,68,2,0,0,1,0,0
72003,V,18-29,1,0,880,Bocholt,Limburg,Vlaams Gewest,Noord-Limburg,567,204,89,0,459,204,15,0,4,0,0
11044,V,50-59,1,0,1364,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,1274,25,279,7,482,3,505,15,8,0,0
73001,M,30-39,1,0,647,Alken,Limburg,Vlaams Gewest,Herkenrode,535,22,21,0,189,9,297,13,28,0,0
33029,V,80-89,1,1,604,Wervik,West-Vlaanderen,Vlaams Gewest,Regio Menen,568,10,120,3,446,7,1,0,1,0,0
73032,V,12-17,0,0,308,Hoeselt,Limburg,Vlaams Gewest,Zuid-Oost Limburg,84,192,0,0,81,192,0,0,3,0,0
