NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
24043,V,60-69,1,0,329,16,59,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
11057,M,60-69,1,1,492,17,21,Malle,Antwerpen,Vlaams Gewest,Voorkempen
13037,V,70-79,1,1,504,11,26,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland
23003,V,10-19,0,0,1317,0,2,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei
24094,M,50-59,1,0,1324,51,54,Rotselaar,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
12007,M,10-19,0,0,987,0,0,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
23038,M,40-49,1,0,813,38,20,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO
24107,M,30-39,1,0,2143,83,70,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
24135,M,70-79,1,1,462,26,7,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest,Demerland
36012,V,0-9,0,0,618,0,0,Moorslede,West-Vlaanderen,Vlaams Gewest,Midden WVL
37011,M,40-49,1,0,456,9,9,Pittem,West-Vlaanderen,Vlaams Gewest,RITS
44013,V,80-89,1,1,644,367,82,Destelbergen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
73028,V,10-19,1,0,1,0,0,Herstappe,Limburg,Vlaams Gewest,Zuid-Oost Limburg
12026,V,0-9,0,0,1140,0,0,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland
13029,V,30-39,1,0,861,73,66,Olen,Antwerpen,Vlaams Gewest,Middenkempen
23102,M,20-29,1,0,1021,26,20,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen
44052,V,0-9,0,0,665,0,0,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
44073,M,40-49,1,0,510,14,16,Wachtebeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
45065,M,70-79,1,1,315,10,9,Zwalm,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
46021,M,0-9,0,0,4905,0,0,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
72039,M,20-29,1,0,1781,28,44,Houthalen-Helchteren,Limburg,Vlaams Gewest,MidWestLim
23097,M,50-59,1,0,901,49,49,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland
71024,M,0-9,0,0,616,0,0,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode
72043,V,40-49,1,0,2003,185,217,Pelt,Limburg,Vlaams Gewest,Noord-Limburg
73028,M,90-100+,1,1,1,0,1,Herstappe,Limburg,Vlaams Gewest,Zuid-Oost Limburg
73042,M,20-29,1,0,1461,30,52,Lanaken,Limburg,Vlaams Gewest,Maasland
41002,M,50-59,1,0,6327,203,208,Aalst,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
12021,M,0-9,0,0,1779,0,0,Lier,Antwerpen,Vlaams Gewest,Pallieterland
23060,M,10-19,1,0,154,0,0,Opwijk,Vlaams-Brabant,Vlaams Gewest,AMALO
35005,V,60-69,1,0,406,30,37,Gistel,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
42003,V,40-49,1,0,1057,98,104,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender
44021,V,40-49,1,0,16180,1288,1166,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent
44083,V,40-49,1,0,2931,275,350,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
43018,M,30-39,1,0,876,33,26,Zelzate,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
44043,V,70-79,1,1,1165,36,65,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
46014,M,70-79,1,1,1642,45,62,Lokeren,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
33011,M,70-79,1,1,1615,102,84,Ieper,West-Vlaanderen,Vlaams Gewest,Westhoek
38014,V,60-69,1,1,1304,68,33,Koksijde,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
44048,M,10-19,0,0,501,0,0,Nazareth,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
44020,M,10-19,0,0,520,0,1,Gavere,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
33040,V,90-100+,1,1,57,43,34,Langemark-Poelkapelle,West-Vlaanderen,Vlaams Gewest,Westhoek
46013,V,90-100+,1,1,119,47,59,Kruibeke,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
46021,M,60-69,1,1,1932,48,75,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
71004,M,0-9,0,0,2745,0,0,Beringen,Limburg,Vlaams Gewest,West-Limburg
44040,M,20-29,1,0,652,13,24,Melle,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
73107,V,0-9,0,0,2050,0,0,Maasmechelen,Limburg,Vlaams Gewest,Maasland
33016,V,40-49,1,0,61,11,5,Mesen,West-Vlaanderen,Vlaams Gewest,Westhoek
35014,V,90-100+,1,1,61,45,36,Oudenburg,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
23038,M,70-79,1,1,451,13,11,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO
23099,V,10-19,1,0,189,0,0,Kraainem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
45035,M,10-19,1,0,346,1,3,Oudenaarde,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
34023,M,10-19,1,0,141,0,5,Kuurne,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk
73083,V,50-59,1,0,2309,183,269,Tongeren,Limburg,Vlaams Gewest,Zuid-Oost Limburg
31012,V,10-19,1,0,140,0,1,Jabbeke,West-Vlaanderen,Vlaams Gewest,WE40
71066,V,70-79,1,1,971,173,52,Zonhoven,Limburg,Vlaams Gewest,Herkenrode
41063,V,40-49,1,0,740,71,75,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea
42003,M,10-19,0,0,642,0,1,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender
44084,M,0-9,0,0,1418,0,0,Aalter,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
42028,M,10-19,1,0,240,1,2,Zele,Oost-Vlaanderen,Vlaams Gewest,Dender
11053,V,10-19,1,0,256,2,8,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen
