NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,BOOSTER_AMT,POPULATION_NBR
11001,V,60-69,1,1,Aartselaar,ANTWERPEN,VLAAMS GEWEST,RupeLaar,479,0,181,0,292,0,3,0,3,0,0,229,498
11057,V,60-69,1,0,Malle,ANTWERPEN,VLAAMS GEWEST,Voorkempen,555,2,121,0,406,2,18,0,10,0,0,303,577
73040,V,40-49,1,0,Kortessem,LIMBURG,VLAAMS GEWEST,Haspengouw,518,2,125,0,309,2,6,0,78,0,0,187,557
13040,V,90-100+,1,1,Turnhout,ANTWERPEN,VLAAMS GEWEST,Kempenland,258,7,126,4,114,3,0,0,18,0,0,222,279
24001,V,60-69,1,0,Aarschot,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,1079,5,147,2,917,3,9,0,6,0,0,206,1118
24020,M,60-69,1,0,Diest,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,838,3,71,0,750,3,12,0,5,0,0,145,873
11023,V,30-39,1,0,Kapellen,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,1468,16,135,0,1297,16,31,0,5,0,0,242,1556
23032,V,40-49,1,0,Herne,VLAAMS-BRABANT,VLAAMS GEWEST,Pajottenland,407,2,56,0,260,1,14,1,77,0,0,150,443
44019,M,60-69,1,1,Evergem,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,886,3,254,1,614,2,13,0,5,0,0,529,918
11016,V,80-89,1,1,Essen,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,406,4,69,0,282,4,2,0,53,0,0,376,433
23097,M,60-69,1,0,Roosdaal,VLAAMS-BRABANT,VLAAMS GEWEST,Pajottenland,392,0,52,0,336,0,1,0,3,0,0,163,405
24008,M,60-69,1,1,Bekkevoort,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,173,1,32,1,141,0,0,0,0,0,0,94,174
38025,V,60-69,1,0,Veurne,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,427,0,59,0,330,0,7,0,31,0,0,167,431
44021,M,60-69,1,0,Gent,OOST-VLAANDEREN,VLAAMS GEWEST,Gent,6232,39,985,4,3293,29,1834,6,105,15,0,2477,6745
11005,V,80-89,1,1,Boom,ANTWERPEN,VLAAMS GEWEST,RupeLaar,501,3,89,2,405,1,2,0,5,0,0,447,530
37018,M,60-69,1,1,Wingene,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,348,2,140,0,199,2,5,0,4,0,0,315,359
24130,V,80-89,1,1,Zoutleeuw,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,263,10,43,3,212,7,0,0,8,0,0,246,278
73009,V,80-89,1,1,Borgloon,LIMBURG,VLAAMS GEWEST,Haspengouw,315,3,100,2,209,1,0,0,6,0,0,301,316
12009,M,80-89,1,1,Duffel,ANTWERPEN,VLAAMS GEWEST,Pallieterland,378,6,47,2,327,4,0,0,4,0,0,350,401
32011,V,18-29,1,0,Kortemark,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,770,5,81,0,645,5,11,0,33,0,0,174,833
11023,V,60-69,1,1,Kapellen,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,782,2,219,1,552,1,4,0,7,0,0,536,813
42025,M,90-100+,1,1,Wetteren,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,59,2,34,2,25,0,0,0,0,0,0,52,62
42011,M,30-39,1,0,Lebbeke,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,1087,16,32,0,1041,16,3,0,11,0,0,83,1221
71057,V,18-29,1,0,Tessenderlo,LIMBURG,VLAAMS GEWEST,West-Limburg,1060,10,60,0,881,10,25,0,94,0,0,167,1180
43002,M,60-69,1,0,Assenede,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,481,2,93,1,380,1,3,0,5,0,0,97,495
