NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
13025,V,12-17,0,0,1156,Mol,Antwerpen,Vlaams Gewest,Baldemore,167,714,0,0,143,714,2,0,22,0,0
12025,M,70-79,1,1,2906,Mechelen,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,2734,25,659,12,2019,13,16,0,40,0,0
11004,V,18-29,1,0,888,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,666,103,77,0,541,103,18,0,30,0,0
44021,V,50-59,1,0,14710,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,12735,415,2780,166,4956,68,4870,181,127,2,0
31004,M,80-89,1,1,617,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust,568,13,142,8,419,5,2,0,5,0,0
13035,M,60-69,1,0,620,Ravels,Antwerpen,Vlaams Gewest,Kempenland,555,11,67,8,406,3,3,0,79,0,0
43010,M,40-49,1,0,1607,Maldegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland,1269,188,157,167,732,20,10,1,370,0,0
46020,M,60-69,1,1,498,Sint-Gillis-Waas,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,483,3,64,1,412,2,7,0,0,0,0
44083,M,18-29,1,0,2901,Deinze,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,1878,735,58,0,1575,735,29,0,216,0,0
13017,V,12-17,0,0,585,Kasterlee,Antwerpen,Vlaams Gewest,Middenkempen,93,352,0,0,85,352,0,0,8,0,0
24043,V,50-59,1,0,790,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,730,16,177,11,511,5,7,0,35,0,0
35029,V,50-59,1,0,1049,De Haan,West-Vlaanderen,Vlaams Gewest,Oostkust,942,19,217,12,684,6,11,1,30,0,0
11021,V,60-69,1,0,312,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,294,3,69,2,214,1,6,0,5,0,0
34023,V,12-17,0,0,429,Kuurne,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,38,261,0,0,27,242,4,19,7,0,0
45041,M,80-89,1,1,483,Ronse,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,441,10,106,7,324,3,3,0,8,0,0
38016,M,80-89,1,1,374,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,353,4,65,3,280,1,1,0,7,0,0
31012,V,12-17,0,0,419,Jabbeke,West-Vlaanderen,Vlaams Gewest,WE40,45,326,0,0,29,326,2,0,14,0,0
13044,M,30-39,1,0,513,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen,440,22,17,0,418,22,3,0,2,0,0
41063,M,12-17,0,0,384,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea,48,283,0,0,44,283,0,0,4,0,0
71002,V,18-29,1,0,565,As,Limburg,Vlaams Gewest,Kemp en Duin,428,45,55,0,316,45,15,0,42,0,0
23096,V,40-49,1,0,1540,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,1372,67,111,32,1129,35,15,0,117,0,0
45062,M,0-11,0,0,92,Horebeke,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,0,4,0,0,0,4,0,0,0,0,0
24009,M,50-59,1,0,701,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,624,50,146,47,446,3,7,0,25,0,0
23097,M,40-49,1,0,778,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland,656,49,39,40,452,9,4,0,161,0,0
11016,M,50-59,1,0,1467,Essen,Antwerpen,Vlaams Gewest,Noorderkempen,1243,102,264,92,665,10,7,0,307,0,0
12029,V,60-69,1,0,602,Putte,Antwerpen,Vlaams Gewest,Bonstato,577,2,100,0,457,2,16,0,4,0,0
11044,V,70-79,1,1,891,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,869,3,379,1,303,1,178,1,9,0,0
42025,M,70-79,1,1,1024,Wetteren,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,979,7,353,4,614,3,3,0,9,0,0
42026,V,30-39,1,0,750,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,702,7,70,0,611,7,18,0,3,0,0
31012,V,50-59,1,0,1104,Jabbeke,West-Vlaanderen,Vlaams Gewest,WE40,1055,9,132,2,890,7,13,0,20,0,0
44012,M,0-11,0,0,702,De Pinte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,0,18,0,0,0,18,0,0,0,0,0
72038,V,40-49,1,0,734,Hechtel-Eksel,Limburg,Vlaams Gewest,Noord-Limburg,604,49,110,37,375,12,9,0,110,0,0
32011,V,90-100+,1,1,128,Kortemark,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,113,7,53,4,59,3,0,0,1,0,0
24130,M,30-39,1,0,460,Zoutleeuw,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,407,23,12,0,388,23,2,0,5,0,0
38008,M,40-49,1,0,614,De Panne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,465,73,51,64,332,9,4,0,78,0,0
44052,V,40-49,1,0,926,Oosterzele,Oost-Vlaanderen,Vlaams Gewest,Panacea,853,24,90,15,658,9,14,0,91,0,0
11030,M,90-100+,1,1,21,Niel,Antwerpen,Vlaams Gewest,RupeLaar,21,1,8,0,10,1,0,0,3,0,0
44034,M,18-29,1,0,1556,Lochristi,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,907,432,34,0,636,432,9,0,228,0,0
12041,V,12-17,0,0,916,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,163,533,0,0,151,533,1,0,11,0,0
34022,M,50-59,1,0,5153,Kortrijk,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,4553,250,493,185,1560,17,2139,48,361,0,0
41034,V,12-17,0,0,608,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst,131,371,0,0,121,371,2,0,8,0,0
73109,V,70-79,1,1,194,Voeren,Limburg,Vlaams Gewest,Zuid-Oost Limburg,173,7,152,5,17,2,1,0,3,0,0
23101,V,18-29,1,0,1190,Sint-Genesius-Rode,Vlaams-Brabant,Vlaams Gewest,Zennevallei,462,301,34,4,369,297,11,0,48,0,0
23003,V,70-79,1,1,1054,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei,979,5,125,3,842,2,5,0,7,0,0
13011,V,80-89,1,1,931,Herentals,Antwerpen,Vlaams Gewest,Middenkempen,875,23,229,2,630,21,0,0,16,0,0
71016,V,12-17,0,0,2276,Genk,Limburg,Vlaams Gewest,Kemp en Duin,383,803,1,0,348,802,7,1,27,0,0
45060,V,40-49,1,0,415,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,339,47,40,42,203,5,1,0,95,0,0
44020,M,30-39,1,0,727,Gavere,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,659,23,23,1,633,22,2,0,1,0,0
33040,V,40-49,1,0,468,Langemark-Poelkapelle,West-Vlaanderen,Vlaams Gewest,Westhoek,372,79,66,75,249,4,17,0,40,0,0
23038,V,0-11,0,0,817,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO,0,9,0,0,0,9,0,0,0,0,0
34027,M,60-69,1,0,1073,Menen,West-Vlaanderen,Vlaams Gewest,Regio Menen,993,11,301,8,674,2,13,1,5,0,0
11007,V,70-79,1,1,535,Borsbeek,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,504,7,232,2,184,2,75,3,13,0,0
24059,V,60-69,1,0,572,Landen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,544,3,54,1,483,2,1,0,6,0,0
34002,M,30-39,1,0,917,Anzegem,West-Vlaanderen,Vlaams Gewest,Regio Waregem,792,27,26,0,744,27,3,0,19,0,0
23102,V,12-17,0,0,568,Wemmel,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,40,191,0,0,38,191,0,0,2,0,0
