NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
31006,V,90-100+,1,1,113,3,65,Damme,West-Vlaanderen,Vlaams Gewest,Oostkust
11021,V,30-39,1,0,412,27,8,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
42010,V,60-69,1,0,433,5,18,Laarne,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
36012,M,60-69,1,0,388,10,13,Moorslede,West-Vlaanderen,Vlaams Gewest,Midden WVL
37020,V,70-79,1,1,428,2,18,Ardooie,West-Vlaanderen,Vlaams Gewest,Midden WVL
33029,V,60-69,1,1,568,3,20,Wervik,West-Vlaanderen,Vlaams Gewest,Regio Menen
23047,M,60-69,1,0,403,10,6,Machelen,Vlaams-Brabant,Vlaams Gewest,BraViO
11009,V,30-39,1,0,1772,43,86,Brecht,Antwerpen,Vlaams Gewest,Voorkempen
24020,V,40-49,1,0,1578,62,74,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland
13035,V,20-29,1,0,821,15,29,Ravels,Antwerpen,Vlaams Gewest,Kempenland
73001,V,10-19,1,0,142,1,0,Alken,Limburg,Vlaams Gewest,Herkenrode
11013,V,60-69,1,0,846,30,32,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
43002,M,80-89,1,1,320,2,31,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
44043,M,30-39,1,0,1525,37,38,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
44043,V,60-69,1,0,800,40,49,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
37007,V,70-79,1,1,516,3,29,Meulebeke,West-Vlaanderen,Vlaams Gewest,RITS
46025,M,60-69,1,0,925,6,10,Temse,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
37020,V,30-39,1,0,550,30,40,Ardooie,West-Vlaanderen,Vlaams Gewest,Midden WVL
71022,V,20-29,1,0,4658,120,123,Hasselt,Limburg,Vlaams Gewest,Herkenrode
11004,M,40-49,1,0,762,15,9,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
45035,M,60-69,1,0,1086,24,25,Oudenaarde,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
34003,M,50-59,1,0,755,3,12,Avelgem,West-Vlaanderen,Vlaams Gewest,Regio Waregem
23047,V,0-9,0,0,1010,0,0,Machelen,Vlaams-Brabant,Vlaams Gewest,BraViO
11044,V,0-9,0,0,922,0,0,Stabroek,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
24137,M,10-19,1,0,55,0,2,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
23062,M,0-9,0,0,1475,0,0,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
44084,M,20-29,1,0,1755,43,20,Aalter,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
71067,V,50-59,1,0,551,19,26,Zutendaal,Limburg,Vlaams Gewest,Kemp en Duin
24020,M,70-79,1,1,1092,1,23,Diest,Vlaams-Brabant,Vlaams Gewest,Demerland
71002,M,70-79,1,1,336,0,2,As,Limburg,Vlaams Gewest,Kemp en Duin
42023,M,0-9,0,0,646,0,0,Waasmunster,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
45035,M,30-39,1,0,1908,35,11,Oudenaarde,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
23094,M,40-49,1,0,2438,16,14,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
11035,V,50-59,1,0,1496,43,66,Ranst,Antwerpen,Vlaams Gewest,Pallieterland
37020,M,50-59,1,0,696,7,6,Ardooie,West-Vlaanderen,Vlaams Gewest,Midden WVL
37017,M,30-39,1,0,691,4,8,Wielsbeke,West-Vlaanderen,Vlaams Gewest,Regio Waregem
23097,M,20-29,1,0,656,5,3,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland
