NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT
11005,M,60-69,1,0,514,Boom,Antwerpen,Vlaams Gewest,RupeLaar,27,39,0,33,25,5,2,1,0
11008,M,20-29,1,0,2011,Brasschaat,Antwerpen,Vlaams Gewest,Noorderkempen,59,45,0,31,53,9,6,5,0
11022,M,90-100+,1,1,77,Kalmthout,Antwerpen,Vlaams Gewest,Noorderkempen,68,19,0,19,68,0,0,0,0
13011,M,10-19,0,0,1091,Herentals,Antwerpen,Vlaams Gewest,Middenkempen,2,0,0,0,2,0,0,0,0
11053,M,10-19,0,0,945,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen,0,0,0,0,0,0,0,0,0
31012,M,70-79,1,1,674,Jabbeke,West-Vlaanderen,Vlaams Gewest,WE40,26,421,0,45,26,376,0,0,0
12041,M,40-49,1,0,1690,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland,94,104,0,79,86,22,8,3,0
13001,V,80-89,1,1,342,Arendonk,Antwerpen,Vlaams Gewest,Kempenland,129,191,0,26,129,165,0,0,0
31022,M,20-29,1,0,1291,Oostkamp,West-Vlaanderen,Vlaams Gewest,WE40,39,42,0,35,39,3,0,4,0
42026,M,60-69,1,1,348,Wichelen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,19,18,0,5,18,12,1,1,0
24001,V,10-19,0,0,1118,Aarschot,Vlaams-Brabant,Vlaams Gewest,Demerland,4,1,0,1,4,0,0,0,0
35005,M,60-69,1,0,390,Gistel,West-Vlaanderen,Vlaams Gewest,Houtland en Polder,23,26,0,18,22,8,1,0,0
11053,M,60-69,1,0,785,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen,21,22,0,12,17,6,4,4,0
31004,M,60-69,1,1,893,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust,19,84,0,44,18,39,1,1,0
24055,V,60-69,1,1,504,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,27,37,0,20,26,13,1,4,0
34023,M,10-19,0,0,620,Kuurne,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,0,0,0,0,0,0,0,0,0
36007,V,80-89,1,1,391,Ingelmunster,West-Vlaanderen,Vlaams Gewest,RITS,57,306,0,85,56,221,1,0,0
41063,M,30-39,1,0,681,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea,24,20,0,13,21,5,3,2,0
38008,V,60-69,1,1,503,De Panne,West-Vlaanderen,Vlaams Gewest,Westkust&Polder,14,55,0,34,14,21,0,0,0
72041,M,40-49,1,0,1379,Dilsen-Stokkem,Limburg,Vlaams Gewest,Maasland,29,71,0,59,26,12,3,0,0
73028,M,30-39,1,0,5,Herstappe,Limburg,Vlaams Gewest,Zuid-Oost Limburg,0,0,0,0,0,0,0,0,0
