NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
11004,V,80-89,1,1,432,4,75,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
31012,V,10-19,1,0,140,1,0,Jabbeke,West-Vlaanderen,Vlaams Gewest,WE40
24028,M,60-69,1,0,213,2,2,Geetbets,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
12005,M,30-39,1,0,721,7,15,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato
11024,V,50-59,1,0,1671,93,68,Kontich,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
73009,M,60-69,1,0,424,8,6,Borgloon,Limburg,Vlaams Gewest,Haspengouw
46014,V,50-59,1,0,2848,162,117,Lokeren,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
13036,V,60-69,1,1,314,1,4,Retie,Antwerpen,Vlaams Gewest,Baldemore
45060,M,80-89,1,1,136,1,10,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
44034,M,20-29,1,0,1229,13,11,Lochristi,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
13053,M,30-39,1,0,1059,8,8,Laakdal,Antwerpen,Vlaams Gewest,Zuiderkempen
36015,M,20-29,1,0,4134,44,43,Roeselare,West-Vlaanderen,Vlaams Gewest,Midden WVL
31004,V,50-59,1,0,1535,87,60,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
24109,V,50-59,1,0,1295,89,89,Tremelo,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
33041,V,80-89,1,1,120,2,11,Vleteren,West-Vlaanderen,Vlaams Gewest,Westhoek
13040,M,60-69,1,1,1173,7,16,Turnhout,Antwerpen,Vlaams Gewest,Kempenland
43002,M,20-29,1,0,827,7,6,Assenede,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland
41027,V,80-89,1,1,600,5,85,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
13008,V,10-19,1,0,381,2,12,Geel,Antwerpen,Vlaams Gewest,Zuiderkempen
11009,V,20-29,1,0,1623,43,58,Brecht,Antwerpen,Vlaams Gewest,Voorkempen
72021,V,70-79,1,1,1200,3,29,Maaseik,Limburg,Vlaams Gewest,Maasland
45063,M,80-89,1,1,149,1,9,Lierde,Oost-Vlaanderen,Vlaams Gewest,Panacea
11050,M,10-19,0,0,422,0,0,Wijnegem,Antwerpen,Vlaams Gewest,Voorkempen
36011,V,0-9,0,0,447,0,0,Lichtervelde,West-Vlaanderen,Vlaams Gewest,Midden WVL
13016,M,10-19,1,0,111,0,1,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen
37010,V,10-19,1,0,87,0,2,Oostrozebeke,West-Vlaanderen,Vlaams Gewest,RITS
35014,M,0-9,0,0,494,0,0,Oudenburg,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
34013,V,20-29,1,0,1647,55,102,Harelbeke,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk
23094,M,20-29,1,0,2074,26,16,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
72030,V,40-49,1,0,1043,82,48,Peer,Limburg,Vlaams Gewest,Noord-Limburg
11025,V,70-79,1,1,349,1,11,Lint,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen
73022,M,90-100+,1,1,8,1,1,Heers,Limburg,Vlaams Gewest,Haspengouw
23038,M,60-69,1,1,330,3,2,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO
23098,V,70-79,1,1,187,0,7,Drogenbos,Vlaams-Brabant,Vlaams Gewest,Zennevallei
33037,V,10-19,1,0,130,0,6,Zonnebeke,West-Vlaanderen,Vlaams Gewest,Westhoek
11001,V,60-69,1,1,495,2,7,Aartselaar,Antwerpen,Vlaams Gewest,RupeLaar
34041,V,70-79,1,1,1520,2,52,Wevelgem,West-Vlaanderen,Vlaams Gewest,Regio Menen
71024,V,40-49,1,0,873,51,50,Herk-de-Stad,Limburg,Vlaams Gewest,Herkenrode
13023,V,60-69,1,1,250,12,1,Merksplas,Antwerpen,Vlaams Gewest,Kempenland
46014,M,50-59,1,0,2915,44,36,Lokeren,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
33041,M,20-29,1,0,198,1,3,Vleteren,West-Vlaanderen,Vlaams Gewest,Westhoek
13010,M,60-69,1,0,439,6,9,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen
38016,M,70-79,1,1,934,1,22,Nieuwpoort,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
37012,V,20-29,1,0,308,14,27,Ruiselede,West-Vlaanderen,Vlaams Gewest,RITS
44048,V,80-89,1,1,396,6,75,Nazareth,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
12007,M,80-89,1,1,488,1,30,Bornem,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
44043,V,40-49,1,0,1688,138,98,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
46003,M,50-59,1,0,3608,38,47,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
37011,V,90-100+,1,1,72,1,33,Pittem,West-Vlaanderen,Vlaams Gewest,RITS
36019,M,60-69,1,1,297,3,8,Staden,West-Vlaanderen,Vlaams Gewest,Midden WVL
12040,V,10-19,0,0,1342,0,1,Willebroek,Antwerpen,Vlaams Gewest,Klein-Brabant Vaartland
23024,V,30-39,1,0,530,27,17,Gooik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
42006,V,60-69,1,1,1437,12,29,Dendermonde,Oost-Vlaanderen,Vlaams Gewest,Dender
44085,V,80-89,1,1,941,8,160,Lievegem,Oost-Vlaanderen,Vlaams Gewest,West-Meetjesland
72038,M,10-19,1,0,130,1,0,Hechtel-Eksel,Limburg,Vlaams Gewest,Noord-Limburg
71016,M,40-49,1,0,4256,67,32,Genk,Limburg,Vlaams Gewest,Kemp en Duin
13037,M,30-39,1,0,798,1,9,Rijkevorsel,Antwerpen,Vlaams Gewest,Kempenland
36019,M,70-79,1,1,447,2,15,Staden,West-Vlaanderen,Vlaams Gewest,Midden WVL
23086,V,70-79,1,1,678,3,33,Ternat,Vlaams-Brabant,Vlaams Gewest,Pajottenland
45064,M,70-79,1,1,258,2,10,Maarkedal,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
13044,V,0-9,0,0,357,0,0,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen
23096,M,10-19,0,0,1114,0,0,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO
72030,M,90-100+,1,1,35,0,16,Peer,Limburg,Vlaams Gewest,Noord-Limburg
41027,M,90-100+,1,1,48,0,13,Herzele,Oost-Vlaanderen,Vlaams Gewest,Panacea
34043,V,60-69,1,0,69,0,2,Spiere-Helkijn,West-Vlaanderen,Vlaams Gewest,Regio Waregem
31004,V,10-19,1,0,149,1,2,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
44048,M,10-19,0,0,501,0,0,Nazareth,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie
13010,M,0-9,0,0,462,0,0,Grobbendonk,Antwerpen,Vlaams Gewest,Middenkempen
41034,M,90-100+,1,1,52,0,11,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
44073,V,10-19,1,0,81,0,2,Wachtebeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht
45060,M,10-19,0,0,331,0,0,Kluisbergen,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen
24001,M,50-59,1,0,2332,59,43,Aarschot,Vlaams-Brabant,Vlaams Gewest,Demerland
11023,V,70-79,1,1,1485,10,43,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen
31004,M,40-49,1,0,1115,30,10,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
24137,V,30-39,1,0,289,19,16,Glabbeek,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland
11050,V,60-69,1,0,364,6,17,Wijnegem,Antwerpen,Vlaams Gewest,Voorkempen
12014,M,10-19,0,0,1830,1,1,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato
23104,M,70-79,1,1,376,1,4,Lennik,Vlaams-Brabant,Vlaams Gewest,Pajottenland
73001,V,30-39,1,0,645,48,28,Alken,Limburg,Vlaams Gewest,Herkenrode
24043,M,80-89,1,1,192,1,25,Holsbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Noord
