NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,VACCINATED_FIRST_DOSIS_NBR,VACCINATED_SECOND_DOSIS_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE
71070,V,30-39,1,0,2229,169,103,Heusden-Zolder,Limburg,Vlaams Gewest,MidWestLim
13040,V,20-29,1,0,2869,128,91,Turnhout,Antwerpen,Vlaams Gewest,Kempenland
35006,V,50-59,1,0,1010,113,59,Ichtegem,West-Vlaanderen,Vlaams Gewest,Houtland en Polder
35013,V,30-39,1,0,3673,255,178,Oostende,West-Vlaanderen,Vlaams Gewest,Oostende-Bredene
24055,V,50-59,1,0,1434,109,90,Kortenberg,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
46021,V,50-59,1,0,5068,417,333,Sint-Niklaas,Oost-Vlaanderen,Vlaams Gewest,Z-W-Waasland
24011,V,80-89,1,1,317,29,31,Bierbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23003,M,80-89,1,1,507,7,56,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei
12035,M,90-100+,1,1,72,13,20,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest,Mechelen - Katelijne
41034,M,20-29,1,0,986,25,20,Lede,Oost-Vlaanderen,Vlaams Gewest,Regio Aalst
13029,V,20-29,1,0,664,49,36,Olen,Antwerpen,Vlaams Gewest,Middenkempen
71004,V,50-59,1,0,3130,177,142,Beringen,Limburg,Vlaams Gewest,West-Limburg
38014,M,10-19,1,0,162,4,1,Koksijde,West-Vlaanderen,Vlaams Gewest,Westkust&Polder
41063,V,80-89,1,1,360,1,74,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea
42011,V,70-79,1,1,860,4,14,Lebbeke,Oost-Vlaanderen,Vlaams Gewest,Dender
12005,V,50-59,1,0,1200,116,71,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato
13044,M,80-89,1,1,160,2,11,Vorselaar,Antwerpen,Vlaams Gewest,Middenkempen
46003,V,60-69,1,0,1667,53,82,Beveren,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland
24011,V,90-100+,1,1,90,26,39,Bierbeek,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23103,M,30-39,1,0,699,20,20,Wezembeek-Oppem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
41063,V,50-59,1,0,767,80,51,Sint-Lievens-Houtem,Oost-Vlaanderen,Vlaams Gewest,Panacea
23038,M,30-39,1,0,693,9,9,Kampenhout,Vlaams-Brabant,Vlaams Gewest,BraViO
33029,V,30-39,1,0,1161,64,114,Wervik,West-Vlaanderen,Vlaams Gewest,Regio Menen
23062,M,60-69,1,1,642,13,9,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek
23003,V,90-100+,1,1,157,10,83,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei
31004,V,60-69,1,1,964,8,11,Blankenberge,West-Vlaanderen,Vlaams Gewest,Oostkust
72043,V,80-89,1,1,997,27,138,Pelt,Limburg,Vlaams Gewest,Noord-Limburg
11002,V,80-89,1,1,13929,150,1618,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid
72021,V,60-69,1,0,923,42,42,Maaseik,Limburg,Vlaams Gewest,Maasland
23077,M,40-49,1,0,2273,39,29,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest,Zennevallei
24038,V,40-49,1,0,1411,190,54,Herent,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid
23027,V,60-69,1,0,1173,50,42,Halle,Vlaams-Brabant,Vlaams Gewest,Zennevallei
23077,V,90-100+,1,1,222,13,97,Sint-Pieters-Leeuw,Vlaams-Brabant,Vlaams Gewest,Zennevallei
