NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,POPULATION_NBR
35002,V,40-49,1,0,Bredene,WEST-VLAANDEREN,VLAAMS GEWEST,Oostende-Bredene,986,10,220,4,594,6,25,0,147,0,0,1048
46025,V,40-49,1,0,Temse,OOST-VLAANDEREN,VLAAMS GEWEST,Z-W-Waasland,1688,26,191,3,1305,23,33,0,159,0,0,1881
42011,V,80-89,1,1,Lebbeke,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,591,5,85,2,488,3,0,0,18,0,0,615
44019,V,40-49,1,0,Evergem,OOST-VLAANDEREN,VLAAMS GEWEST,Oost-Meetjesland,2197,12,365,1,1358,10,57,1,417,0,0,2315
72003,M,40-49,1,0,Bocholt,LIMBURG,VLAAMS GEWEST,Noord-Limburg,717,7,78,0,454,7,4,0,181,0,0,785
32003,V,60-69,1,0,Diksmuide,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,507,2,61,0,440,2,2,0,4,0,0,534
73040,V,50-59,1,0,Kortessem,LIMBURG,VLAAMS GEWEST,Haspengouw,606,4,189,1,320,3,6,0,91,0,0,638
46003,V,60-69,1,1,Beveren-Waas,OOST-VLAANDEREN,VLAAMS GEWEST,N-O-Waasland,1527,8,141,2,1377,6,6,0,2,1,0,1568
13017,M,60-69,1,0,Kasterlee,ANTWERPEN,VLAAMS GEWEST,Middenkempen,721,1,129,1,576,0,9,0,7,0,0,743
13011,V,30-39,1,0,Herentals,ANTWERPEN,VLAAMS GEWEST,Middenkempen,1550,40,122,1,1378,39,39,0,11,0,0,1788
13014,M,12-17,0,0,Hoogstraten,ANTWERPEN,VLAAMS GEWEST,Kempenland,517,64,1,0,504,64,1,0,11,0,0,685
11008,V,50-59,1,0,Brasschaat,ANTWERPEN,VLAAMS GEWEST,Noorderkempen,2705,13,637,7,1430,6,88,0,549,1,0,2914
11054,V,18-29,1,0,Zandhoven,ANTWERPEN,VLAAMS GEWEST,Voorkempen,688,9,62,0,560,9,10,0,56,0,0,757
73032,V,80-89,1,1,Hoeselt,LIMBURG,VLAAMS GEWEST,ZOLim,242,0,74,0,162,0,0,0,6,0,0,251
11039,V,60-69,1,0,Schilde,ANTWERPEN,VLAAMS GEWEST,Voorkempen,743,3,162,0,544,3,17,0,20,0,0,776
42008,V,70-79,1,1,Hamme,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,1114,7,305,2,786,5,3,0,20,0,0,1156
41002,M,40-49,1,0,Aalst,OOST-VLAANDEREN,VLAAMS GEWEST,Regio Aalst,5081,77,803,19,3062,58,43,0,1173,0,0,5727
23105,M,30-39,1,0,Affligem,VLAAMS-BRABANT,VLAAMS GEWEST,Amalo,645,17,23,0,586,16,2,1,34,0,0,756
24041,M,50-59,1,0,Hoegaarden,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,544,1,190,1,306,0,13,0,35,0,0,575
24107,V,12-17,0,0,Tienen,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,1005,80,0,0,985,80,5,0,15,0,0,1206
44081,M,18-29,1,0,Zulte,OOST-VLAANDEREN,VLAAMS GEWEST,Schelde en Leie,942,19,22,0,816,19,9,0,95,0,0,1066
13044,M,60-69,1,0,Vorselaar,ANTWERPEN,VLAAMS GEWEST,Middenkempen,329,1,53,0,273,1,0,0,3,0,0,339
11055,V,60-69,1,0,Zoersel,ANTWERPEN,VLAAMS GEWEST,Voorkempen,866,6,167,0,656,3,30,3,13,0,0,916
24041,V,60-69,1,0,Hoegaarden,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,214,0,35,0,177,0,1,0,1,0,0,228
31042,M,70-79,1,1,Zuienkerke,WEST-VLAANDEREN,VLAAMS GEWEST,Oostkust,147,0,20,0,126,0,1,0,0,0,0,152
38008,V,18-29,1,0,De Panne,WEST-VLAANDEREN,VLAAMS GEWEST,Westkust & Polder,465,24,33,1,414,23,5,0,13,0,0,561
23094,M,90-100+,1,1,Zaventem,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,91,4,51,3,33,1,1,0,6,0,0,107
23038,M,60-69,1,1,Kampenhout,VLAAMS-BRABANT,VLAAMS GEWEST,BraVio,324,4,35,2,281,2,2,0,6,0,0,351
73006,M,90-100+,1,1,Bilzen,LIMBURG,VLAAMS GEWEST,ZOLim,77,5,38,3,32,2,1,0,6,0,0,90
11052,M,12-17,0,0,Wommelgem,ANTWERPEN,VLAAMS GEWEST,Antwerpen Centrum-Noord-Oost-Zuid,301,33,0,0,281,31,11,2,9,0,0,420
23002,V,90-100+,1,1,Asse,VLAAMS-BRABANT,VLAAMS GEWEST,Amalo,220,9,105,4,101,5,0,0,14,0,0,249
44052,M,90-100+,1,1,Oosterzele,OOST-VLAANDEREN,VLAAMS GEWEST,Panacea,37,1,22,1,14,0,0,0,1,0,0,45
