NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT
34022,M,18-29,1,0,5905,Kortrijk,West-Vlaanderen,Vlaams Gewest,Regio Kortrijk,4602,246,99,0,1972,179,2350,67,180,1,0
42025,V,40-49,1,0,1674,Wetteren,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,1504,56,260,9,1068,47,20,0,156,0,0
42028,M,18-29,1,0,1561,Zele,Oost-Vlaanderen,Vlaams Gewest,Dender,1152,128,19,0,946,128,8,0,179,0,0
11056,M,60-69,1,0,715,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,686,4,93,1,586,3,3,0,4,0,0
13016,V,30-39,1,0,643,Hulshout,Antwerpen,Vlaams Gewest,Zuiderkempen,587,8,50,0,509,8,21,0,7,0,0
43007,V,18-29,1,0,411,Kaprijke,Oost-Vlaanderen,Vlaams Gewest,Oost-Meetjesland,351,33,39,0,288,33,8,0,16,0,0
44021,V,90-100+,1,1,2001,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,1823,44,513,7,1056,35,117,2,137,0,0
46024,M,30-39,1,0,1135,Stekene,Oost-Vlaanderen,Vlaams Gewest,N-O-Waasland,994,22,20,0,960,22,2,0,12,0,0
45059,M,60-69,1,1,474,Brakel,Oost-Vlaanderen,Vlaams Gewest,Panacea,461,3,30,0,424,3,4,0,3,0,0
11023,V,40-49,1,0,1663,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,1521,24,207,1,1263,23,28,0,23,0,0
23052,V,30-39,1,0,1082,Merchtem,Vlaams-Brabant,Vlaams Gewest,AMALO,850,24,87,1,742,23,8,0,13,0,0
73066,V,40-49,1,0,1104,Riemst,Limburg,Vlaams Gewest,Zuid-Oost Limburg,957,9,183,0,658,9,13,0,103,0,0
44013,M,50-59,1,0,1295,Destelbergen,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,1202,19,408,8,660,11,12,0,122,0,0
13036,M,40-49,1,0,713,Retie,Antwerpen,Vlaams Gewest,Baldemore,644,6,33,1,590,5,3,0,18,0,0
11030,V,80-89,1,1,277,Niel,Antwerpen,Vlaams Gewest,RupeLaar,264,4,46,2,208,2,0,0,10,0,0
24107,V,18-29,1,0,2274,Tienen,Vlaams-Brabant,Vlaams Gewest,Zuidoost Hageland,1874,150,168,4,1550,145,49,1,107,0,0
33011,V,60-69,1,1,1095,Ieper,West-Vlaanderen,Vlaams Gewest,Westhoek,1048,6,183,0,855,6,7,0,3,0,0
72004,V,80-89,1,1,498,Bree,Limburg,Vlaams Gewest,Kemp en Duin,478,7,121,1,350,6,1,0,6,0,0
13019,V,80-89,1,1,403,Lille,Antwerpen,Vlaams Gewest,Middenkempen,392,3,66,0,321,3,0,0,5,0,0
24048,V,40-49,1,0,863,Keerbergen,Vlaams-Brabant,Vlaams Gewest,Leuven Noord,783,19,93,1,587,18,16,0,86,1,0
23025,V,12-17,0,0,1331,Grimbergen,Vlaams-Brabant,Vlaams Gewest,Regio Grimbergen,339,444,0,0,333,444,0,0,6,0,0
37015,M,50-59,1,0,1459,Tielt,West-Vlaanderen,Vlaams Gewest,RITS,1377,8,442,5,864,3,11,0,60,0,0
23096,M,18-29,1,0,1418,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,1204,58,36,1,952,57,12,0,204,0,0
34041,V,30-39,1,0,1933,Wevelgem,West-Vlaanderen,Vlaams Gewest,Regio Menen,1752,28,160,1,1477,27,21,0,94,0,0
36011,V,80-89,1,1,250,Lichtervelde,West-Vlaanderen,Vlaams Gewest,Midden WVL,241,4,71,1,169,3,0,0,1,0,0
11056,V,40-49,1,0,1202,Zwijndrecht,Antwerpen,Vlaams Gewest,N-O-Waasland,1065,23,258,4,644,17,19,2,144,0,0
23062,V,18-29,1,0,1574,Overijse,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,1116,70,79,1,978,68,18,1,41,0,0
44043,V,70-79,1,1,1199,Merelbeke,Oost-Vlaanderen,Vlaams Gewest,Scheldekracht,1163,7,385,2,765,5,5,0,8,0,0
36011,V,50-59,1,0,628,Lichtervelde,West-Vlaanderen,Vlaams Gewest,Midden WVL,613,3,179,0,417,3,5,0,12,0,0
44081,M,90-100+,1,1,37,Zulte,Oost-Vlaanderen,Vlaams Gewest,Schelde-Leie,31,3,18,0,10,3,0,0,3,0,0
13001,V,50-59,1,0,1004,Arendonk,Antwerpen,Vlaams Gewest,Kempenland,907,6,251,3,551,3,9,0,96,0,0
33011,M,90-100+,1,1,164,Ieper,West-Vlaanderen,Vlaams Gewest,Westhoek,149,3,77,2,64,1,0,0,8,0,0
73022,M,80-89,1,1,144,Heers,Limburg,Vlaams Gewest,Haspengouw,135,3,48,1,85,2,0,0,2,0,0
73022,V,0-11,0,0,415,Heers,Limburg,Vlaams Gewest,Haspengouw,3,21,0,0,3,21,0,0,0,0,0
23003,M,12-17,0,0,1056,Beersel,Vlaams-Brabant,Vlaams Gewest,Zennevallei,389,293,0,0,367,291,0,2,22,0,0
23096,M,50-59,1,0,1845,Zemst,Vlaams-Brabant,Vlaams Gewest,BraViO,1759,11,607,5,972,6,9,0,171,0,0
71057,V,40-49,1,0,1334,Tessenderlo,Limburg,Vlaams Gewest,West-Limburg,1216,15,190,4,743,11,23,0,260,0,0
23097,V,12-17,0,0,422,Roosdaal,Vlaams-Brabant,Vlaams Gewest,Pajottenland,140,202,0,0,134,202,2,0,4,0,0
42003,M,18-29,1,0,943,Berlare,Oost-Vlaanderen,Vlaams Gewest,Dender,831,26,21,1,682,25,9,0,119,0,0
23027,M,30-39,1,0,2727,Halle,Vlaams-Brabant,Vlaams Gewest,Zennevallei,2149,87,76,6,2023,80,27,1,23,0,0
