NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,FULLY_VACCINATED_OTHER_AMT,PARTLY_VACCINATED_OTHER_AMT,BOOSTER_AMT,POPULATION_NBR
12014,V,5-11,0,0,Heist-Op-Den-Berg,ANTWERPEN,VLAAMS GEWEST,Bonstato,713,155,0,0,197,3,0,0,0,516,152,28,1487
42006,V,70-79,1,1,Dendermonde,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,2171,9,900,2,1240,7,6,0,25,0,0,2131,2239
44034,V,30-39,1,0,Lochristi,OOST-VLAANDEREN,VLAAMS GEWEST,Scheldekracht,1199,6,129,1,1031,4,22,1,16,1,0,1058,1225
24048,V,60-69,1,1,Keerbergen,VLAAMS-BRABANT,VLAAMS GEWEST,Leuven Noord,471,0,60,0,402,0,2,0,7,0,0,457,484
23094,M,5-11,0,0,Zaventem,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,267,179,0,0,139,14,0,0,0,128,165,10,1711
23077,M,12-17,0,0,Sint-Pieters-Leeuw,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,869,27,0,0,844,25,2,2,23,0,0,152,1365
35006,M,12-17,0,0,Ichtegem,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,483,3,0,0,471,3,2,0,10,0,0,149,498
42004,V,30-39,1,0,Buggenhout,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,823,2,67,0,746,2,5,0,5,0,0,730,845
24008,M,30-39,1,0,Bekkevoort,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,368,2,16,0,337,1,8,1,7,0,0,311,382
31033,V,12-17,0,0,Torhout,WEST-VLAANDEREN,VLAAMS GEWEST,Houtland en Polder,580,3,0,0,570,3,0,0,10,0,0,202,610
24104,V,60-69,1,0,Tervuren,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,597,4,184,1,407,3,3,0,3,0,0,562,648
36019,V,0-4,0,0,Staden,WEST-VLAANDEREN,VLAAMS GEWEST,Midden WVL,12,8,0,0,0,0,0,0,0,12,8,0,304
31043,M,18-29,1,0,Knokke,WEST-VLAANDEREN,VLAAMS GEWEST,Oostkust,1532,20,42,1,1377,17,11,2,102,0,0,1244,1870
44048,M,80-89,1,1,Nazareth,OOST-VLAANDEREN,VLAAMS GEWEST,Schelde en Leie,268,3,16,0,248,3,2,0,2,0,0,253,277
36008,V,90-100+,1,1,Izegem,WEST-VLAANDEREN,VLAAMS GEWEST,RITS,234,5,109,3,116,2,0,0,9,0,0,202,250
44081,V,60-69,1,1,Zulte,OOST-VLAANDEREN,VLAAMS GEWEST,Schelde en Leie,407,1,56,0,346,1,3,0,2,0,0,399,424
24020,V,40-49,1,0,Diest,VLAAMS-BRABANT,VLAAMS GEWEST,Demerland,1507,9,234,0,1028,5,35,4,210,0,0,1355,1617
42006,V,60-69,1,0,Dendermonde,OOST-VLAANDEREN,VLAAMS GEWEST,Dender,1652,4,341,0,1286,4,11,0,13,1,0,1598,1695
23099,V,12-17,0,0,Kraainem,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,426,12,0,0,419,11,5,1,2,0,0,80,559
72020,M,18-29,1,0,Lommel,LIMBURG,VLAAMS GEWEST,Noord-Limburg,1997,64,40,1,1865,58,14,5,73,5,0,1617,2264
73001,V,40-49,1,0,Alken,LIMBURG,VLAAMS GEWEST,Herkenrode,733,6,121,1,251,2,295,3,65,1,0,666,764
45068,V,30-39,1,0,Huise,OOST-VLAANDEREN,VLAAMS GEWEST,Vlaamse Ardennen,916,5,99,1,783,3,16,1,18,0,0,832,972
44085,V,90-100+,1,1,Lovendegem,OOST-VLAANDEREN,VLAAMS GEWEST,West-Meetjesland,220,3,66,1,152,2,0,0,2,0,0,197,244
23100,V,18-29,1,0,Linkebeek,VLAAMS-BRABANT,VLAAMS GEWEST,Zennevallei,264,9,8,0,232,7,2,2,22,0,0,156,328
31043,M,50-59,1,0,Knokke,WEST-VLAANDEREN,VLAAMS GEWEST,Oostkust,2535,15,771,3,1583,10,28,2,153,0,0,2418,2637
24133,V,18-29,1,0,Linter,VLAAMS-BRABANT,VLAAMS GEWEST,Zuidoost Hageland,425,2,33,0,356,2,9,0,27,0,0,381,450
44052,M,70-79,1,1,Oosterzele,OOST-VLAANDEREN,VLAAMS GEWEST,Panacea,522,2,144,0,375,2,0,0,3,0,0,510,531
11052,V,18-29,1,0,Wommelgem,ANTWERPEN,VLAAMS GEWEST,Antwerpen Centrum-Noord-Oost-Zuid,688,5,57,0,297,3,300,2,34,0,0,545,767
23033,V,30-39,1,0,Hoeilaart,VLAAMS-BRABANT,VLAAMS GEWEST,Druivenstreek,601,24,44,0,538,13,5,11,13,1,0,443,699
