NIS_CD,GENDER_CD,AGE_CD,ADULT_FL(18+),SENIOR_FL(65+),POPULATION_NBR,MUNICIPALITY,PROVINCE,REGION,EERSTELIJNSZONE,FULLY_VACCINATED_AMT,PARTLY_VACCINATED_AMT,FULLY_VACCINATED_AZ_AMT,PARTLY_VACCINATED_AZ_AMT,FULLY_VACCINATED_PF_AMT,PARTLY_VACCINATED_PF_AMT,FULLY_VACCINATED_MO_AMT,PARTLY_VACCINATED_MO_AMT,FULLY_VACCINATED_JJ_AMT,PARTLY_VACCINATED_JJ_AMT
11002,V,60-69,1,1,11720,Antwerpen,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,417,464,0,190,404,203,13,71,0,0
11004,M,30-39,1,0,712,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,17,31,0,25,16,5,1,1,0,0
11004,M,50-59,1,0,1033,Boechout,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,50,38,0,35,42,3,8,0,0,0
11013,V,10-19,1,0,198,Edegem,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,3,6,0,2,3,3,0,1,0,0
11040,M,10-19,1,0,361,Schoten,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,6,1,0,1,6,0,0,0,0,0
11053,M,10-19,1,0,233,Wuustwezel,Antwerpen,Vlaams Gewest,Noorderkempen,2,0,0,0,1,0,1,0,0,0
11018,V,30-39,1,0,828,Hemiksem,Antwerpen,Vlaams Gewest,RupeLaar,76,77,0,59,68,18,8,0,0,0
11018,M,40-49,1,0,803,Hemiksem,Antwerpen,Vlaams Gewest,RupeLaar,16,38,0,29,14,9,2,0,0,0
11023,V,10-19,0,0,1171,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,1,0,0,0,1,0,0,0,0,0
11035,M,70-79,1,1,905,Ranst,Antwerpen,Vlaams Gewest,Pallieterland,47,140,0,6,46,134,1,0,0,0
11052,M,10-19,0,0,551,Wommelgem,Antwerpen,Vlaams Gewest,Antwerpen Centrum-Noord-Oost-Zuid,1,0,0,0,1,0,0,0,0,0
13021,M,10-19,0,0,448,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,0,0,0,0,0,0,0,0,0,0
11054,M,20-29,1,0,741,Zandhoven,Antwerpen,Vlaams Gewest,Voorkempen,20,19,0,15,19,1,1,3,0,0
12002,V,10-19,1,0,107,Berlaar,Antwerpen,Vlaams Gewest,Pallieterland,6,0,0,0,6,0,0,0,0,0
12005,M,10-19,1,0,164,Bonheiden,Antwerpen,Vlaams Gewest,Bonstato,3,4,0,3,3,0,0,1,0,0
23100,M,60-69,1,1,119,Linkebeek,Vlaams-Brabant,Vlaams Gewest,Zennevallei,13,8,0,1,12,7,1,0,0,0
11021,V,40-49,1,0,502,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,40,54,0,48,33,4,7,2,0,0
44021,V,90-100+,1,1,1988,Gent,Oost-Vlaanderen,Vlaams Gewest,Gent,1154,907,0,726,1154,76,0,105,0,0
45035,V,60-69,1,0,1061,Oudenaarde,Oost-Vlaanderen,Vlaams Gewest,Vlaamse Ardennen,126,45,0,35,113,9,13,1,0,0
11023,M,60-69,1,0,953,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,40,26,0,21,36,5,4,0,0,0
11023,V,60-69,1,0,940,Kapellen,Antwerpen,Vlaams Gewest,Noorderkempen,86,45,0,26,81,16,5,3,0,0
12014,V,90-100+,1,1,295,Heist-op-den-Berg,Antwerpen,Vlaams Gewest,Bonstato,143,193,0,120,143,71,0,2,0,0
12026,M,70-79,1,1,1095,Nijlen,Antwerpen,Vlaams Gewest,Pallieterland,38,142,0,3,38,139,0,0,0,0
13021,V,90-100+,1,1,56,Meerhout,Antwerpen,Vlaams Gewest,Zuiderkempen,22,45,0,34,22,11,0,0,0,0
23094,V,0-9,0,0,2115,Zaventem,Vlaams-Brabant,Vlaams Gewest,Druivenstreek,0,0,0,0,0,0,0,0,0,0
31005,M,10-19,0,0,4713,Brugge,West-Vlaanderen,Vlaams Gewest,Brugge,1,0,0,0,1,0,0,0,0,0
12035,V,60-69,1,1,613,Sint-Katelijne-Waver,Antwerpen,Vlaams Gewest,Mechelen - Katelijne,33,118,0,35,33,83,0,0,0,0
11021,M,0-9,0,0,404,Hove,Antwerpen,Vlaams Gewest,Zuidoostrand Antwerpen,0,0,0,0,0,0,0,0,0,0
13006,M,90-100+,1,1,30,Dessel,Antwerpen,Vlaams Gewest,Baldemore,17,25,0,5,17,20,0,0,0,0
23016,V,50-59,1,0,3215,Dilbeek,Vlaams-Brabant,Vlaams Gewest,Pajottenland,285,221,0,155,261,53,24,13,0,0
24009,M,50-59,1,0,709,Bertem,Vlaams-Brabant,Vlaams Gewest,Leuven Zuid,36,21,0,16,35,4,1,1,0,0
23081,M,90-100+,1,1,26,Steenokkerzeel,Vlaams-Brabant,Vlaams Gewest,BraViO,12,25,0,23,12,2,0,0,0,0
